Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12,Joint_13,Joint_14,Joint_15,Joint_16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05291003,-0.7346989,1.8578837,-2.041525e-06,-0.8561905,0.9300304,1.8625212,0.0056606187,0.22072583,-0.10224696,0.050682135,0.005329243,0.33515215,0.7998819,1.9012858,0.0039581154
-1.0032456,2.8286042,-0.8701594,-4.020171,3.0538719,-3.6420722,-4.942158,5.0,3.4205384,3.201416,-3.0089545,5.794019,-4.786193,-2.394134,-2.3615682,-5.0
-0.59125227,0.7417259,-4.2885447,-10.0,4.168406,-5.0,-2.317038,-0.179497,3.0212245,4.0199637,-3.0200214,-6.879117,-3.587023,-2.0021513,-0.3920657,-5.0
-0.41557258,2.727977,-1.9991946,1.6074318,2.823068,-3.939307,0.6383305,-1.5506215,2.484595,4.1795793,-1.7850368,-4.645524,-2.6021438,-3.064578,-2.1309967,-4.1891284
-1.7934217,5.0,-1.7527119,-6.184981,2.700995,-2.1862311,-1.6649734,-5.0,3.047383,-0.48185778,-2.054498,10.0,-1.486352,-2.1336365,-1.4449472,-5.0
-3.6755242,3.476612,-1.4580696,-0.076488756,2.3828611,0.51466525,0.84507775,5.0,3.5182261,-0.4457003,-2.339404,4.0654063,0.99430543,-2.0831666,-0.801829,2.2771416
-2.4507596,1.9351948,-0.995715,10.0,1.916002,2.0994604,0.21922356,5.0,2.8153405,-1.9902279,-1.0114497,10.0,-0.7316657,-0.43998456,-0.39216012,5.0
-1.7263747,2.5893025,-1.0451422,-3.624701,2.8845263,-1.2506876,-1.2871528,-2.4131107,3.782873,-1.1592481,-2.9071226,1.3646469,-0.37228572,-1.6548142,-0.023542866,-0.2760201
-0.5456705,0.76646554,2.217233,6.3870087,2.2961063,-1.8213087,-1.6192374,-5.0,3.655693,3.198104,-2.063697,-7.442402,-2.278226,-2.7556732,-0.49206996,-5.0
-0.60480297,1.8944598,-1.1981235,-1.5629314,3.6174505,-2.0285807,0.0012795329,-2.6447132,2.092687,1.1421238,-5.0,-10.0,-0.2262991,-0.7546909,0.031354368,-0.20362473
0.461452,-1.29669,-0.031177312,7.580431,2.0412393,0.4076512,1.6279292,5.0,3.0428064,2.814392,-3.3338256,-0.9341593,-0.8810581,-0.63659006,-0.16629942,3.222187
-2.0433366,0.93873876,-0.44632888,10.0,2.5260925,-1.2968581,-1.0014231,4.2739506,4.5937777,0.35604453,-1.5153503,3.639101,-1.4077489,-2.2880945,-1.6549069,0.3132768
-0.40026546,0.7906284,1.3750094,5.33289,3.3640916,-1.3169029,-1.9097893,-5.0,2.954628,-0.084215105,-3.9539587,-10.0,-0.8073727,-1.3667554,-2.4607074,-2.8717039
-0.82939106,2.8754094,-1.8818617,-10.0,2.4626405,-2.455327,-2.0239353,-4.3909397,2.4620793,2.1402388,0.09949899,1.9139843,-2.0941598,-2.380097,-0.7151438,1.0514085
-2.1557176,1.746928,-2.1446207,-5.6133995,2.8331802,-1.2138733,-0.12953174,-4.560396,3.8857043,5.0,-2.742776,-0.8384149,-1.1894702,0.006751895,-0.28744787,5.0
-2.4583304,0.61136484,-2.7097347,-5.810846,2.808692,-1.8615391,-1.1987993,0.036331058,3.814478,4.653036,-1.5008881,-7.978196,-0.5630464,0.62165993,-0.15707499,5.0
-1.1566538,-0.32542217,-0.79941595,-1.665854,1.6109855,-0.8194389,-0.8072208,1.4333096,4.659574,4.917882,-2.9516253,-10.0,-1.3062388,-1.1545663,-2.4002974,3.8442626
0.9232863,-2.5300503,1.2280902,10.0,2.8792899,-1.0671766,-1.0082736,-0.0442791,2.4969523,3.1346269,-0.5141629,9.130859,-2.818298,1.0316033,-0.29075438,-5.0
-1.7399557,1.3609871,-2.3654566,-1.2600187,3.013005,-2.435045,-0.93764544,-5.0,4.00211,4.596261,-1.3548695,-0.9010718,-0.49715745,-0.12717414,1.9357862,2.2477455
-1.7155392,1.8333368,-1.6931231,1.2847416,2.533625,-2.868162,-0.7145028,-2.8176959,4.8243093,5.0,-3.9198766,-8.9970665,-0.87106323,-0.7342273,-1.0484316,-5.0
-0.7937646,0.9868251,-0.18403697,-10.0,3.823442,-4.0643272,-1.3102996,-5.0,2.6788428,5.0,-2.9629493,-10.0,-2.0584555,-0.5115808,1.007643,4.4743156
-1.9020734,-2.1165733,-3.6216705,-10.0,2.0644515,-0.8245661,-0.023067832,-4.453292,2.9898434,4.5912266,-3.7775936,-9.181702,0.18916953,-0.77700776,-2.459149,0.3567914
-1.8106561,1.6464804,-3.6976867,-6.823064,1.4537699,0.4290359,-0.006091535,5.0,4.41512,4.0757008,-2.1477873,-2.14813,-0.003233552,-0.21643904,-0.010313302,-3.104693
-0.064914465,-1.092993,1.9667745,10.0,2.4655182,-1.9633689,0.932895,-5.0,2.9483383,2.4175484,-2.4930286,-5.6409855,-1.5956249,-0.6498624,-2.8621244,1.9369421
-0.36350212,2.7188694,0.11915898,2.7571108,2.6327717,-0.047193766,0.32927048,-5.0,3.9533162,0.15157413,-1.4331721,10.0,-1.6679506,-0.9233096,-1.3394899,-3.253603
-3.1122406,0.7855217,-0.053744435,1.1190089,2.8851771,-0.41022098,-1.1152034,-5.0,0.47234344,-0.5075425,1.8368243,10.0,-1.3469293,-1.21719,-3.6119952,-5.0
-0.23067105,-0.25771093,2.4536402,10.0,3.1043925,-0.55397993,0.061192274,5.0,2.7784367,1.6048806,-4.870047,-10.0,-1.4182602,0.39507324,1.2507136,5.0
-1.7731721,1.2336859,-2.5055816,-5.3135977,3.0122724,0.2945537,0.12340453,5.0,4.9837346,2.959043,-2.7440524,-10.0,-2.1438532,-1.5909113,-2.5455272,-0.08690126
-1.3780292,-0.1453234,-1.4714314,0.6010622,2.942366,-1.1760008,-2.2058573,-3.979939,1.5620142,-1.1449856,-1.8966911,10.0,0.6028172,0.8755784,3.2378435,5.0
-2.7818606,3.3400674,-0.8625901,7.037744,3.235268,-0.680359,-2.3674905,-5.0,3.938248,0.35144985,-2.8829255,10.0,-0.5713866,0.13999844,3.9355545,4.4296174
-0.50551033,-0.8524251,1.6288929,10.0,3.3859706,0.7962311,-0.118780375,5.0,1.8980799,-0.9067974,-1.1005352,9.742644,0.4392027,0.03492403,-1.4795084,5.0
-2.9028814,2.0907218,-3.7728176,-3.3921251,3.979363,-0.6009001,0.4682055,-0.6018721,2.8452208,1.5078913,-2.3763602,-3.1333115,0.23197293,0.3571619,2.2346735,-1.5336602
-1.7541403,3.5188951,-2.2100031,-6.642314,3.3617015,-1.7332911,-1.9181155,0.48209858,2.021705,-1.6956856,0.8073187,10.0,0.10041791,-1.066148,-0.46196687,-5.0
-1.2358713,0.6226853,-0.26251686,1.0649369,2.5505583,0.4656815,0.8100486,5.0,1.0985363,-1.9650834,1.4235077,10.0,-1.196623,-2.0594058,-0.25087553,-3.4389257
-0.9265669,2.753563,-2.3033152,-10.0,3.14052,-2.5013514,-1.8664215,-5.0,2.7007709,0.3103683,-2.8648021,8.858526,-1.8842317,0.30712807,1.1067657,1.0396948
-0.18521988,-0.6177407,1.4768689,10.0,3.2428827,0.9131242,-1.8878874,3.0834658,2.8013823,-0.06849766,-2.1320167,10.0,-2.319456,-1.1508758,-3.3313856,-5.0
0.69910926,0.9176943,2.6133044,4.406652,1.8246992,0.6524618,0.7120452,5.0,3.46696,2.3389237,-3.8377318,-10.0,-1.3838958,-1.7774911,-2.3194778,0.7651294
-1.4296465,1.4535744,-2.3707685,-10.0,3.1801467,-2.9410486,-0.5870754,-2.2422826,3.1119976,0.5598475,-2.1831126,-5.4581313,-2.5357285,-2.1250951,-0.7210108,5.0
0.6594953,-0.4790715,3.2511654,4.7136335,2.0881414,-1.3050102,-2.5241992,5.0,4.27972,4.062692,-2.3646746,-1.8385077,-1.0528005,-0.41216767,-2.2803457,-5.0
0.7584081,1.589428,-1.2858777,0.6511286,4.0523877,-2.2447,-1.7993731,5.0,1.1984451,-0.29182935,-0.5900588,2.568222,-2.6994407,-3.1430092,-3.4570146,-5.0
-1.0668348,-1.5565306,-1.5729681,-10.0,3.982615,0.14286673,0.81081295,5.0,3.3942764,1.3276149,-2.587017,-4.4947557,-1.9719062,-2.29533,-1.5437877,-5.0
-2.290242,2.1162982,-2.0961392,7.7044034,3.1537032,0.8066753,-0.021701276,5.0,2.8564076,-1.5543104,-1.756372,-6.855873,-1.2218881,-1.3965638,-2.9611473,-4.693266
-2.7871408,1.1013362,-1.7650007,10.0,3.3752785,1.32723,0.9465693,5.0,2.927865,-0.10327613,-5.0,-10.0,-0.93129843,0.5654765,1.1734854,0.7263776
-0.90531766,0.993351,0.4525441,0.19646133,3.7799323,-2.0550027,-0.5527877,-0.85599995,3.2146986,-2.744123,-0.52144617,10.0,-1.0334673,-1.5502017,-3.3146431,-4.73823
-0.60356164,0.30035087,-1.3259553,10.0,4.706481,-1.2233896,-1.3270302,-5.0,2.2410326,1.0427148,-1.9731337,-7.3143415,-0.63305926,-2.0435228,-1.1138461,-0.41595888
-3.7210565,3.6087515,-0.82128376,-6.065866,1.5611116,-0.90777135,-1.9675839,-3.8724732,4.3324337,1.3073559,-5.0,-10.0,-1.4371994,-2.0513625,-0.601246,0.6684865
-1.511142,-0.8635348,1.739077,6.242145,4.2944565,-1.1025462,-2.0340877,5.0,1.8689933,1.7641333,-5.0,-10.0,-2.5254579,-2.1339822,-2.1264272,1.2605134
-0.29418895,1.1562493,-0.073475,10.0,3.410601,-2.2884707,-0.13622159,-1.7852641,3.088985,1.8073064,-3.2585032,-10.0,-0.6599257,-2.4237895,-2.9906006,5.0
-0.9717913,3.120161,-1.7688668,-2.5939069,3.7095299,-1.0788753,-0.7194734,-5.0,2.7554584,0.98453313,-3.7195683,-7.2101326,0.6098896,-1.667817,-1.546517,0.3527729
-1.524765,1.0259743,1.5577621,3.4829354,4.4241095,-0.4962524,-0.56712216,-5.0,3.2276058,1.7595814,-3.4150045,-10.0,-1.5304556,-3.1308572,-1.1561114,-1.5514208
-2.7546844,3.1936374,-3.4118543,2.6527233,2.9535468,2.457994,1.391461,5.0,1.8516096,-1.9945168,-1.2934175,10.0,0.687297,-2.071143,-3.045994,-4.657506
-2.5944176,1.8447351,-0.3935915,0.019531257,2.7650607,1.2258427,-1.2734448,5.0,4.3920336,-1.1303216,-2.4378154,2.381608,-0.1906369,0.04872763,-0.176409,5.0
-1.2595491,3.3367834,-1.3910987,-0.82276416,3.294458,-1.4301004,-1.5543878,-2.1311162,1.7987456,-2.2518084,-1.8250362,3.7136698,-0.7541359,-2.5417767,-1.0046062,0.5555123
-2.9206278,2.539265,-3.3858185,-2.3052716,3.5496924,-2.1010456,-0.9093274,-3.8804424,2.7979777,-2.08772,-2.131689,-7.647379,-0.5936073,-1.3490336,-0.53299576,-0.46663153
-1.5265678,2.6884797,-1.4735975,-10.0,5.0,-1.8811508,-1.1403915,-4.6384544,0.8462366,-2.6178188,-0.37465787,10.0,0.4652432,0.15351605,1.0321321,5.0
-1.5142088,5.0,0.056483746,-0.29396975,3.6165235,1.4700356,0.63246566,3.581709,4.0706515,1.1793131,-4.0854154,-4.8605456,0.31861418,0.18849874,3.0398197,1.964928
-3.6008482,2.6030765,-2.9198227,-3.295359,0.98715436,1.4487598,0.9155167,5.0,4.286867,2.7611861,-5.0,-6.1427855,0.15421298,1.2021911,0.22876191,5.0
-1.1394824,-0.55256295,1.068797,1.6668444,3.3466258,0.5468485,-0.6254672,-2.9579787,3.8650424,0.9095403,-3.0701582,9.8564,-1.0746634,-1.5433393,-0.45925966,-0.4194639
-1.0666014,1.0061547,-2.5739555,-8.110862,1.6322776,0.5719825,0.36070222,-5.0,4.4078617,3.769105,-4.462865,-10.0,-0.31635803,-1.063757,-2.6050525,-2.7089484
-2.4954581,4.5592823,-1.6757556,-0.29740688,2.0948815,1.4422121,1.7412286,5.0,4.372105,0.09022665,-1.7226558,10.0,-0.21316153,-0.3509413,-0.7684299,3.7698839
-1.1503012,4.141286,-3.2921753,-1.907202,1.7514966,1.0778084,-1.9286586,5.0,3.9918609,2.2652311,-3.1606755,-8.654734,1.2528968,-3.3383658,-4.488529,-3.2172396
-2.2558937,1.027071,-3.4777756,-3.8888648,0.48191786,1.6781018,1.2078004,5.0,4.577613,4.288932,-3.880579,-10.0,-0.020476818,-1.557452,-1.943322,0.89311934
-1.1602472,2.5482345,-2.6109824,-4.7657065,2.966116,1.2050471,-0.1909683,5.0,3.2480028,-0.52384186,-0.30878043,10.0,1.0351312,0.6979778,2.8614726,4.3974094
-0.51387763,-0.56140935,-1.9031911,10.0,5.0,-1.2687366,-2.0120146,-4.158436,1.4025204,1.2626253,-4.110281,-10.0,-0.35040796,0.32933718,1.6203129,2.5949943
-3.0208535,4.120506,-1.7976044,-4.01061,1.8888078,-1.1215857,-1.6802557,5.0,3.5621793,-1.2739303,-3.6248329,7.193632,-0.8630089,-1.8927804,-2.2481337,-5.0
-1.257756,0.9779514,1.1812013,0.07107029,1.7651033,0.8084723,1.0022407,5.0,5.0,2.711518,-4.051083,-4.659179,0.4051057,0.60040784,0.081558764,5.0
-0.47186756,2.017442,-1.2225889,-1.749966,2.5401013,-0.65140474,-3.0576367,-5.0,3.2687788,0.5994458,-2.359358,10.0,-0.035171896,0.7135146,0.3679502,2.0508373
