base_vel_x,base_vel_y,base_vel_z,base_vel_yaw
-0.0071018627,-0.010266486,1.0062006,-0.012131425
0.49620193,-0.09436447,-0.035614945,-0.4293131
0.26530412,-0.14864582,0.024939254,-0.6033859
0.14935808,-0.15087704,0.1306087,0.1273607
0.022246337,-0.1161031,0.035100188,-0.02171425
-0.048201915,-0.04554211,-0.014358056,-0.28673825
-0.04387422,-0.052475374,0.0475416,-0.24731244
-0.013822604,-0.0724644,0.080576316,0.17902471
0.009862244,-0.013166979,-0.08272518,-0.044985253
-0.01896861,0.019944094,0.022710238,0.24591321
0.025753932,0.066033594,-0.008428746,-0.17834106
0.009292779,0.005682822,-0.14846168,0.29443598
-0.0067841304,-0.025687892,0.05127685,0.16680224
0.058215894,-0.0901246,0.072998844,-0.09751486
-0.047095973,0.005248697,-0.121419795,-0.4375725
0.011958528,0.03209004,0.038717307,0.17034331
0.03597588,0.06791866,-0.016258035,0.023009708
-0.015074349,-0.018713018,-0.2031109,0.6211616
-0.022399545,-0.08696017,0.044331472,0.42502174
-0.012040226,-0.14152831,0.1074538,0.118476495
-0.04170918,-0.061624847,-0.059182774,-0.32545978
0.036150467,-0.015658047,0.03503857,-0.19921102
-0.028639495,-0.012443836,0.050432492,0.124163896
-0.036725596,-0.06332315,-0.07941195,0.2422978
-0.039586395,-0.13158222,0.072797514,0.4168737
-0.0591464,-0.06667012,0.11987221,-0.26973674
-0.04559404,0.03812174,0.038331013,0.028402358
-0.040486623,0.112607524,0.11503559,-0.033203572
-0.05075743,0.09910236,-0.11194509,0.17981136
-0.037653595,0.03729488,-0.11348869,0.2694686
-0.026043616,-0.00433389,0.1375443,0.4096787
-0.050864015,-0.06872978,0.10553979,-0.17657329
-0.115933284,0.0032186008,-0.0626961,-0.4233975
-0.044366565,0.01293134,0.086142115,0.11334637
-0.03987596,0.039096408,-0.033033423,-0.026427027
-0.067433,0.048399918,-0.15554912,0.37803698
-0.0327731,0.024078507,0.018672874,0.10603867
-0.023518553,-0.038635954,0.11462951,-0.3796742
-0.07632647,0.009900174,-0.106716186,-0.6291855
