base_vel_x,base_vel_y,base_vel_z,base_vel_yaw
-0.0071715196,-0.010419622,1.0061923,-0.0121977115
-0.0071715196,-0.010419622,1.0061923,-0.0121977115
-0.39804816,0.20311943,0.2078828,0.11665859
-0.31716433,0.22570424,0.028108966,0.28864297
-0.17662969,0.1268046,-0.10328843,0.20668566
-0.09261218,0.11553021,0.02010383,-0.0701367
-0.08673614,0.07203188,0.056854118,0.16778012
-0.07183501,0.05064277,-0.047258403,-0.30473572
-0.07499481,-0.007438663,0.04306048,-0.03831176
-0.03596732,-0.0930209,0.10860361,0.32141864
-0.016725786,-0.10117992,-0.0105825765,0.015314823
-0.06458253,-0.015480498,-0.092819124,-0.08873615
-0.018508958,-0.0032662626,0.06428603,-0.040488005
-0.012115888,0.008331591,-0.07371477,-0.11830289
-0.06524463,-0.012013194,-0.055939417,0.035795815
-0.016426358,-0.07209645,0.11094519,0.2236764
-0.016453087,-0.06767053,0.061588988,0.02317096
-0.06897997,-0.02197896,-0.039994653,-0.030089088
0.00855888,-0.029249385,0.044225585,-0.22781517
-0.0768667,-0.020512206,-0.12459477,-0.027303288
-0.076530136,-0.01094768,0.041729666,-0.028333845
-0.05601179,-0.040814567,0.10388022,0.22907285
-0.011778525,-0.07401054,0.08851414,-0.3180674
-0.06806034,-0.014481501,-0.11061261,-0.34942043
-0.029467834,-0.027070457,0.12351461,0.06253569
-0.009139267,0.027959736,-0.058826037,-0.2720947
-0.018553287,-0.010937009,-0.12940602,0.054684944
0.0038696688,-0.027291745,0.08273137,0.38046035
-0.014089159,-0.039778676,-0.05048223,0.01641341
-0.09988105,0.027941655,-0.12531741,0.0012415978
-0.032026846,0.04752754,0.05410457,-0.020050766
-0.022897296,-0.04285719,-0.11305942,0.054103907
-0.065490074,-0.032564208,-0.01004132,-0.12278477
-0.04933383,-0.07853845,0.1438894,-0.0019473716
-0.11067012,0.035226632,-0.09036058,-0.48670045
-0.10207876,0.040734835,-0.0026436807,-0.109690465
-0.058290217,-0.00071062165,-0.14100015,-0.045622677
-0.025574286,-0.015397507,-0.030238947,-0.068617664
-0.024128253,-0.03205231,0.054229885,0.4753266
-0.04119622,-0.109482065,0.0066143842,-0.15027034
-0.06327516,-0.013508675,0.008795202,-0.2053529
-0.016306717,0.003266894,0.050861128,0.030640159
0.026722398,0.007119114,-0.23313631,-0.10935552
-0.014429874,0.027026528,-0.014833009,0.13399921
-0.039783046,-0.07051532,0.11254222,0.25677878
-0.12111345,-0.005113201,-0.20576657,-0.3974274
-0.056402635,-0.00680137,-0.020861635,-0.069491014
-0.060389876,0.03769192,0.06088498,0.26668936
-0.052985057,-0.0054745944,-0.08800439,0.040026832
-0.051885057,-0.030455621,0.013118626,0.031195126
-0.03916006,-0.08564228,0.11287991,0.1148969
-0.055220094,-0.03204531,-0.19189171,0.060411066
-0.021950096,-0.028824545,0.034364335,-0.020410186
0.011219948,0.026490832,0.044069737,-0.07972101
-0.0170931,0.0015842853,-0.08683357,0.15192243
-0.0240706,-0.039740145,0.08265734,0.3984405
0.044888865,-0.06687528,0.046917193,-0.10630907
-0.09003854,-0.0055643483,-0.1179284,-0.25940177
-0.030213889,0.023731941,0.038955044,-0.16803873
0.013270788,0.041036565,0.033468276,-0.09375244
0.0023959796,-0.06011615,0.061231524,0.22086209
0.025375541,-0.08382481,0.109605834,0.07374341
-0.04493585,-0.08054945,0.031548616,-0.19596207
-0.104105055,-0.03879663,-0.041405972,0.19725123
-0.026796004,0.0022424047,0.13691863,0.1423942
0.0093796905,-0.06561396,-0.24301848,0.09623651
-0.0463965,-0.06604852,0.00580418,0.1345791
-0.019835602,-0.12052141,0.14727333,0.06002016
-0.08885817,-0.07495724,-0.14017119,-0.007335993
-0.036165774,-0.06762075,0.09349643,0.1272931
-0.043196477,-0.012806772,0.027555753,0.01214726
-0.0035897135,-0.007798658,-0.16668414,0.13578476
0.014271959,-0.0065717595,0.043324046,0.18437573
-0.0010638128,-0.04591172,0.06957582,0.0005214319
-0.034031224,-0.019093089,-0.14631686,-0.03129616
-0.015348282,0.0032024276,0.0832676,0.397447
0.02388424,0.046358418,-0.08111169,-0.41506377
-0.029456723,0.0023444765,-0.12090975,0.05413453
-0.041866176,-0.03589558,0.031535637,0.00944194
0.030872684,-0.09951716,0.11511547,-0.050546095
-0.064801745,-0.034311466,-0.010999359,0.13587777
-0.037470274,-0.006048173,0.07941272,0.027245356
-0.022420045,-0.034707263,-0.17744236,-0.13523641
-0.0716823,-0.06385075,0.0038279484,-0.20714928
-0.03924884,-0.10567509,0.07906621,0.34141442
-0.05317015,-0.06876656,-0.030191656,-0.23436601
-0.034279205,-0.013575668,0.00012342106,0.06129636
-0.0052090236,-0.009702344,0.07796922,0.13590254
-0.026879566,-0.01862804,-0.18125789,0.18428132
-0.034404032,-0.089878015,0.0011752828,0.16767938
0.0069006886,-0.13986765,0.06719312,0.47547022
-0.039254386,-0.054587197,-0.1740984,-0.13863082
-0.040860575,-0.044542626,0.11570618,0.21421105
0.006511027,0.0062499987,0.05180873,0.026530128
-0.05449148,-0.0034682276,-0.0714819,-0.16461043
-0.014592663,-0.094491065,0.14471664,0.2752096
-0.039235502,-0.09592037,-0.052909676,-0.3326439
0.0014528157,-0.04624942,0.060485136,0.30735853
0.008676813,-0.012669625,0.08663694,0.05111914
-0.0015117188,-0.0112000555,-0.1870923,-0.025171094
-0.013686522,-0.044965122,0.072797105,-0.23290132
-0.038318735,-0.09807557,0.14038941,0.27885652
-0.102109104,0.012207941,-0.18550505,-0.44546324
-0.09833416,0.0023445436,0.016464463,-0.22942002
-0.08632401,-0.0019522783,0.054431513,-0.18836898
-0.043975297,-0.05224788,0.0056691994,-0.07135865
-0.07526801,-0.09626379,0.0033503147,0.18594104
-0.06627653,-0.07210353,0.010053589,-0.07019606
-0.045286465,-0.029273836,-0.03339073,0.2309756
-0.00041226653,0.029170804,0.091505684,0.19631566
-0.032765903,-0.031646084,-0.13363568,-0.065366685
-0.06904216,-0.047762483,0.038033206,-0.035618305
0.0035979787,-0.07655442,0.11648618,-0.2137396
-0.08839705,-0.007900517,-0.19749874,-0.4949326
-0.06424621,0.008412338,0.09480637,0.026207125
-0.07163123,0.05457728,-0.046481237,-0.02418806
-0.07733159,0.00027374557,-0.16175932,0.4662726
