Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12
0.3031968,-0.0,-0.0,-0.30742922,0.0,0.0,-0.2776735,-0.0,-0.0,0.25154296,-0.0,0.0
-0.11355357,-0.059076127,0.25278848,-0.191632,0.0756425,-0.40780824,-0.24621321,0.23209669,0.21788757,0.11969059,-0.15346403,0.023167076
-0.5801175,-0.18583393,0.10220143,0.38846937,0.28106588,-0.56314445,-0.6250653,0.010444934,0.39999664,-0.1609822,-0.019696753,-0.25570664
-0.40467274,0.36159414,0.19549172,0.38971138,0.15447699,-0.15799929,-0.20820442,-0.25660786,0.17494893,-0.2454271,-0.24833018,-0.100098535
-0.5279841,0.6394106,0.40000007,0.31335703,-0.073934644,-0.14638829,0.063008785,-0.30082646,0.06323836,-0.10210257,-0.5408711,-0.45592254
-0.4458089,0.37025625,0.4000001,0.32443428,-0.30689627,-0.15118808,0.06982794,-0.025995288,0.06040983,-0.1452505,-0.053725176,-0.692608
-0.45319337,-0.056201074,-0.08163107,0.23917347,-0.19207424,-0.8031883,-0.38576606,0.31313872,0.39998367,-0.3656221,0.266438,0.12497813
-0.40529618,0.092996314,0.16296263,0.41477355,0.15780333,-0.48765713,-0.4473128,0.026137121,0.29949462,-0.2230073,0.1305476,-0.15329866
-0.44903335,0.38037446,0.16030973,0.37200695,0.11970447,-0.11332382,-0.17633381,-0.31742978,0.08765975,-0.2669896,-0.17194328,-0.09568688
-0.502232,0.62808233,0.4,0.33394456,0.01116556,-0.08157838,0.058695015,-0.3860223,0.045278892,-0.17123924,-0.6095532,-0.3507497
-0.5190455,0.28856626,0.4000001,0.28454402,-0.308064,-0.15062463,0.08512308,-0.015466623,0.023640482,-0.11568217,0.046848454,-0.81996447
-0.42913282,-0.008891297,0.2451133,0.31278098,-0.2601404,-0.64333206,-0.13654594,0.28142476,0.40000004,-0.3094751,0.2419919,-0.086537465
-0.4655399,0.15435609,0.13616991,0.41380966,0.13095361,-0.54218405,-0.3500656,0.033283506,0.3858224,-0.23994489,0.14341742,-0.12425557
-0.42146942,0.34803653,0.17779967,0.2922376,0.1279163,-0.0888022,-0.07962442,-0.29992184,0.10978036,-0.29048735,-0.15439971,-0.0785676
-0.52500945,0.6644386,0.40000007,0.31020734,-0.013495431,-0.092642136,0.03478289,-0.31862855,0.040854678,-0.07665954,-0.5919051,-0.4264541
-0.51390797,0.18465538,0.40000018,0.4025182,-0.3939771,-0.0488371,0.07007115,-0.019517673,-0.060844332,-0.13217133,0.19831465,-0.84252834
-0.41536728,0.024138298,0.1453002,0.27519196,-0.24511808,-0.6955391,-0.17431359,0.30572253,0.40000004,-0.34137803,0.21080072,0.0076435
-0.38924748,0.09108024,0.15943296,0.4025851,0.07889181,-0.5153802,-0.5434222,0.00739316,0.29240495,-0.28729346,0.15070435,-0.098721065
-0.4120639,0.57425123,0.05532528,0.38858643,0.050978236,0.060976714,0.041363448,-0.43795294,-0.10384356,-0.3011385,-0.35176623,-0.008771163
-0.51032895,0.39140934,0.4000001,0.26425633,-0.2677095,-0.16170603,0.067145266,-0.12251885,0.14608692,-0.055109803,-0.14050917,-0.79480857
-0.39200544,-0.06463612,0.061743617,0.31638536,-0.043465298,-0.7098822,-0.6074711,0.18191235,0.32224068,-0.30342868,0.27907407,-0.02872748
-0.3696841,0.30431637,0.17794462,0.2607856,0.12932006,-0.13109134,-0.19524652,-0.23416051,0.20182085,-0.27492046,-0.15877116,-0.10930367
-0.5474863,0.6548835,0.40000004,0.26761904,0.016903471,-0.1374569,0.092933625,-0.3429306,0.008005914,-0.11582071,-0.62197983,-0.37935942
-0.44183466,0.4178168,0.4000001,0.35740775,-0.20391273,-0.16041024,0.064877495,-0.099826254,0.12872912,-0.15209055,-0.22463514,-0.6527076
-0.38435033,-0.08954109,0.31759056,0.22099805,-0.31894806,-0.66473395,-0.2514261,0.34937203,0.4,-0.34754476,0.35718536,-0.14586434
-0.38675725,0.12308516,0.19494262,0.35972065,0.14376858,-0.46418828,-0.4075859,-0.016578674,0.30658644,-0.24611913,0.13793568,-0.18678477
-0.41596732,0.5254767,0.06396144,0.3630879,0.073599525,-0.062190175,-0.0016517581,-0.39846304,0.045495797,-0.2406739,-0.24142928,-0.0071813613
-0.47445703,0.62716043,0.4000001,0.28570783,-0.019785171,-0.082199514,0.09626777,-0.31016856,0.118450314,-0.121060595,-0.59958386,-0.4858186
-0.49638113,0.32084724,0.40000013,0.30310836,-0.28953314,-0.13164037,0.08683363,-0.021731643,0.043459386,-0.08494965,-0.056718275,-0.7382857
-0.4185752,0.005579351,0.06603493,0.34524658,-0.02450872,-0.7314203,-0.50485724,0.23366888,0.38164216,-0.23673494,0.28684828,-0.02442447
-0.42132333,0.2318441,0.17336738,0.38608286,0.15430054,-0.4485483,-0.31045568,-0.06987221,0.32134902,-0.22401261,0.0941011,-0.16843954
-0.42023697,0.50056016,0.10893485,0.32629824,0.08985824,0.008962725,-0.011520309,-0.35653841,0.04258874,-0.30066338,-0.33686003,-0.016412364
-0.5498333,0.5250897,0.4000001,0.27342626,-0.15771937,-0.18029422,0.11983328,-0.23402381,0.099746175,0.021576421,-0.39221662,-0.64168835
-0.31741765,-0.07999717,0.0044062138,0.22474948,-0.20067675,-0.83791137,-0.4710025,0.37750104,0.40000093,-0.40733808,0.28738737,0.07993292
-0.46537685,0.17269413,0.14546107,0.35165256,0.10887094,-0.48603964,-0.4554347,-0.080278,0.3169435,-0.2356996,0.0306908,-0.10582879
-0.42371213,0.5840738,0.111137815,0.36703643,0.10169572,0.028104205,0.069583125,-0.41754267,-0.0007958087,-0.28709498,-0.43427405,-0.020508878
-0.5218377,0.45174682,0.4000001,0.25139678,-0.17923845,-0.18022937,0.05384205,-0.20530182,0.081200734,-0.045677558,-0.27967227,-0.7119025
-0.43668538,-0.03451696,0.2969626,0.34185922,-0.28949994,-0.64304984,-0.16665065,0.3370726,0.39606398,-0.3071227,0.2661731,-0.12640974
-0.4465056,0.05534013,0.06065618,0.38511142,0.008688463,-0.68117267,-0.46121874,0.1521819,0.38374406,-0.28006667,0.20607212,-0.06324727
-0.31640047,0.20497882,0.20261309,0.42311323,0.13476102,-0.2991181,-0.33938763,-0.17505991,0.27451524,-0.24823658,-0.020372067,-0.16138542
-0.6145315,0.69595695,0.40000007,0.27710092,0.031214109,-0.18465725,0.09106837,-0.33793846,-0.0779535,0.009158324,-0.6002009,-0.47296327
-0.41224992,0.2097064,0.40000007,0.35597423,-0.410486,-0.03337726,0.044905998,0.02727457,0.08199959,-0.22013865,0.022026382,-0.7618762
-0.39791295,-0.060023215,-0.034978747,0.3037023,-0.13937831,-0.78932405,-0.5461886,0.33521977,0.39979228,-0.30664003,0.26627195,0.026746677
-0.37593305,0.32650617,0.19981246,0.29733482,0.12009549,-0.17012969,-0.23250964,-0.20740771,0.20518067,-0.2509809,-0.11878351,-0.10316692
-0.48221964,0.6219932,0.40000004,0.29001802,-0.07069867,-0.04235647,0.05490876,-0.37156487,0.08286372,-0.19351748,-0.58324367,-0.39077383
-0.4672855,0.45010066,0.40000007,0.31970012,-0.25404868,-0.13801053,0.0014199286,-0.13104092,0.13944682,-0.14813608,-0.24462445,-0.63697296
-0.4347496,0.03977632,0.40000015,0.25701943,-0.42805898,-0.29840046,-0.011895766,0.22824639,0.25912446,-0.267718,0.26818487,-0.58680964
-0.37982205,0.09208863,0.11188863,0.3621631,0.020908743,-0.6356118,-0.5540127,0.033905394,0.3167036,-0.28256974,0.16312477,-0.025079308
-0.38791814,0.34435105,0.20316578,0.39340946,0.22624688,-0.34413013,-0.23362698,-0.2170991,0.27332172,-0.25998014,-0.044813525,-0.15150747
-0.5248786,0.6661212,0.40000007,0.29624525,-0.008854335,-0.14631255,0.11315542,-0.28373474,0.047706343,0.008614574,-0.6012408,-0.47825015
-0.36093518,-0.0021119793,0.4000001,0.18916608,-0.3871282,-0.55626714,-0.07238259,0.33038336,0.3601673,-0.3486892,0.3294166,-0.232668
-0.431913,0.20323348,0.14357042,0.43541998,0.17219998,-0.5458163,-0.37172002,-0.047722388,0.36400762,-0.23127203,0.10282496,-0.067364074
-0.40122363,0.4707356,0.09684987,0.36515528,0.14387797,0.009789676,0.06905476,-0.3924355,0.018487168,-0.336617,-0.24967171,0.09704141
-0.5577224,0.64080584,0.4000001,0.31352076,-0.07825218,-0.091199726,0.09263363,-0.30431607,0.0016866161,0.012594274,-0.52742165,-0.5354583
-0.46035677,0.09514453,0.40000013,0.38649458,-0.4111768,-0.16139118,0.0612568,0.14178301,0.028698198,-0.17817843,0.13727164,-0.60635376
-0.3993055,-0.059151974,0.103553556,0.3354832,-0.031535044,-0.63644737,-0.65267175,0.18192868,0.30242795,-0.30925095,0.22455643,-0.11504674
-0.4069073,0.47208554,0.1413308,0.3287679,0.11866672,-0.060636703,-0.12254923,-0.34703717,0.11018505,-0.28099042,-0.23102082,-0.08198979
-0.5606104,0.61611867,0.4000001,0.2718977,-0.15472041,-0.1451418,0.08753835,-0.28876224,0.044231515,-0.026438512,-0.49262744,-0.58701235
-0.47441405,0.069964394,0.40000013,0.21666738,-0.4449781,-0.1301131,0.08920332,0.112486936,0.15694621,-0.22361869,0.18021357,-0.7203396
-0.3791901,0.09492935,0.18286581,0.46739596,0.030659165,-0.6362413,-0.5788308,0.0833984,0.27315602,-0.25891885,0.26355037,-0.09091424
-0.33619383,0.252333,0.40000013,0.117181145,0.049791403,-0.36520356,0.13997655,-0.20418909,-0.04343158,0.15870972,-0.7536299,-0.44738457
-0.42330745,0.02182994,0.40000018,0.35055014,-0.26753694,-0.1209235,0.1179636,-0.07112955,-0.05536234,-0.0513404,-0.018341562,-0.6227294
-0.30270278,0.010637726,0.19563234,0.416161,0.010655502,-0.5410029,-0.61180454,-0.07587486,0.26527095,-0.31114805,0.21763462,-0.1292764
-0.45589226,0.48321077,0.09503404,0.2745896,0.122120515,-0.07683176,-0.0038621777,-0.36499625,0.07304105,-0.30891058,-0.26690015,0.27635005
-0.43929324,0.6372752,0.23508462,0.34039623,-0.021395085,-0.008764232,0.058632165,-0.28964534,-0.017699199,-0.24189083,-0.5693757,-0.25794318
-0.54155666,0.4184681,0.40000013,0.2869517,-0.2695056,-0.13928981,0.06365549,-0.151302,0.10792303,-0.0077664163,-0.10850248,-0.73660463
-0.5174741,0.029595258,-0.08614357,0.35296026,-0.18130681,-0.81381935,-0.3258697,0.28381026,0.39999518,-0.2984254,0.24753875,0.10938688
-0.36128885,0.038333874,0.19493964,0.2954766,0.05636756,-0.4602533,-0.528182,0.044161458,0.26001766,-0.2721391,0.16810797,-0.19119368
-0.40172592,0.49889475,0.112995654,0.32235554,0.082172774,0.03405248,-0.04751842,-0.40323198,0.018610287,-0.28502208,-0.25583968,-0.041517686
-0.5586576,0.5896939,0.4000001,0.24676226,-0.1019868,-0.16307531,0.07559349,-0.24739988,0.0718978,-0.0049080458,-0.51141566,-0.61851114
-0.4210206,-0.11496833,0.27682263,0.1382387,-0.3857005,-0.70376354,-0.22347231,0.41844827,0.40000004,-0.385524,0.26642552,-0.023431884
