Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.7546744,-2.0060306,-3.5891752,0.8268609,2.2182908,-11.515727,11.990462,-0.65295947,-9.588497,4.232489,1.1456003,-2.008136
-0.40863085,0.2181046,-1.0745236,9.428572,-1.3101571,12.59781,6.1352425,-9.04022,-19.255226,1.8408647,-2.7976005,2.163939
-0.7916172,0.11028862,0.53345644,1.692634,-2.9757028,8.840297,2.491115,-6.653636,-10.12479,0.32432306,0.40563893,-0.5374485
-1.0731063,-1.6657677,3.8026116,-2.3879125,-3.3723323,0.7103021,-0.6059923,1.977068,-1.6721604,0.17330313,1.2591274,18.085953
-8.36045,-6.5523834,-3.1876516,-0.6240355,-10.653691,-1.7695605,0.083745,0.28606758,0.7194907,0.67738426,7.35845,14.480155
-6.6129684,0.5036591,-0.7171201,-0.89773476,-8.867208,-1.421824,-3.6539564,0.8618767,2.6666002,-1.0609689,-1.1640316,16.300007
-9.453322,1.5948019,0.7522328,0.4923334,1.1545749,0.57482195,0.23094535,-0.69718814,4.721952,-3.9443154,-4.387845,13.084858
-0.20722991,4.481777,-11.087065,0.4216473,1.2119894,-1.2742128,0.7401085,-2.2162375,2.1299796,2.5233407,-7.2594495,-0.4390638
0.7435197,-0.9664798,12.190804,4.005543,4.509592,14.963466,12.449822,-6.1509666,-5.939355,-1.412864,0.87662697,0.21904278
1.7542586,-1.5103459,0.4734814,6.315865,1.522418,8.328157,7.58923,-3.461069,-4.3043213,1.6817745,0.9885757,-0.5973855
-1.6119342,-0.7909622,-2.761643,1.2984769,-2.190568,-1.6615372,-1.088328,-1.6519315,5.5034504,-0.9432652,0.88639545,3.1860244
-9.87447,-3.9782617,-6.4500327,1.900343,-5.4692717,0.6924863,-0.627681,0.62726617,1.3386759,-4.289655,5.6047335,10.772529
-8.062971,-1.2233402,-4.8537326,-0.5838336,-1.7813292,-3.0113883,0.15386176,-0.40917778,0.5576032,-6.7936964,1.891862,9.11892
-11.336703,-0.96501184,-0.17302704,0.21826863,1.5556824,0.13256192,0.136689,-1.1024928,0.95569026,-6.293813,-7.6756353,8.822042
0.20226568,3.4579353,-6.2488756,0.5440774,0.79907334,-1.7641444,0.45997906,-2.8376336,2.9815843,0.86117256,-4.2711663,-1.6405582
