feet_1,feet_2,feet_3,feet_4
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,63.000645,0.0,98.83958
88.72364,74.89928,0.0,111.08036
47.712975,37.80044,0.0,65.22087
62.393875,43.633415,0.0,140.91298
42.56537,0.0,0.0,146.87479
0.0,0.0,0.0,0.0
0.0,112.26213,60.858624,0.0
0.0,58.33845,36.59014,0.0
155.81383,31.061289,0.0,147.37976
58.50629,43.969456,0.0,85.596535
71.59731,40.319695,0.0,110.75376
70.593094,0.0,0.0,126.50613
0.0,190.27435,0.0,0.0
0.0,117.82241,52.128063,0.0
0.0,52.478004,22.499224,0.0
100.97027,72.89618,0.0,98.391464
78.70997,10.864962,0.0,85.92024
74.49535,1.271467,0.0,123.65345
61.550438,0.0,0.0,138.21432
0.0,226.91591,0.0,0.0
0.0,126.51366,62.47138,0.0
0.0,76.88038,41.41832,0.0
185.83893,0.0,0.0,160.01198
60.754047,63.47632,0.0,56.72637
94.04127,0.0,0.0,103.84566
51.94835,0.0,0.0,121.63161
121.124626,0.0,0.0,74.80564
0.0,155.71027,108.52138,0.0
0.0,110.05622,43.903675,0.0
0.0,60.342453,50.692356,0.0
84.79834,79.47745,0.0,133.3864
116.08934,55.960148,0.0,94.78369
67.414925,21.76967,0.0,83.56069
64.04535,16.28349,0.0,112.214935
61.429108,0.0,0.0,135.60825
0.0,0.0,0.0,41.28429
0.0,154.57504,84.94218,0.0
0.0,86.33468,44.499153,0.0
0.0,46.83348,25.943455,0.0
64.59156,76.24923,0.0,53.458965
60.46218,0.0,0.0,86.85261
56.60928,0.0,0.0,125.24794
51.233948,0.0,0.0,110.649826
0.0,175.60466,117.47315,0.0
0.0,111.72117,61.185986,0.0
0.0,45.05971,31.49529,0.0
105.25231,71.529594,0.0,103.99738
73.275475,48.238426,0.0,68.80481
81.62214,0.0,0.0,109.96567
61.831604,0.0,0.0,126.83208
0.0,196.28975,244.10324,0.0
0.0,118.796906,52.94785,0.0
0.0,76.51001,51.134117,0.0
131.33939,3.8423393,0.0,141.39738
55.262394,48.90181,0.0,103.21225
42.05154,0.0,0.0,106.13459
0.0,137.07852,116.1068,0.0
0.0,126.579285,90.51368,0.0
0.0,67.63075,51.203476,0.0
149.74648,34.443413,0.0,145.73338
72.11432,30.485323,0.0,61.18772
74.057846,0.0,0.0,112.54083
71.36918,0.0,0.0,107.35132
0.0,0.0,0.0,0.0
0.0,134.81418,61.80452,0.0
0.0,84.940125,58.041878,0.0
98.01394,0.0,0.0,201.87811
90.16739,32.37753,0.0,108.761154
54.536133,53.246452,0.0,98.29436
62.832344,0.0,0.0,128.71848
0.0,0.0,0.0,20.361809
0.0,122.97872,67.448235,0.0
0.0,76.773605,68.33302,0.0
112.7526,0.0,0.0,205.81204
87.175606,50.793774,0.0,75.09233
89.17984,0.0,0.0,118.843185
42.461876,0.0,0.0,141.37434
0.0,190.25037,182.19365,0.0
0.0,72.19009,40.9422,0.0
0.0,47.211838,20.788557,0.0
122.82227,52.722435,0.0,129.44615
57.712048,38.711166,0.0,65.429344
89.96643,0.0,0.0,133.89008
41.231197,0.0,0.0,95.994965
0.0,138.32303,81.728676,0.0
0.0,94.42622,54.149864,0.0
0.0,15.343044,19.447552,0.0
90.88507,59.960598,0.0,86.26113
70.81256,31.867886,0.0,73.046265
74.84048,0.0,0.0,113.80986
0.0,0.0,0.0,15.204122
0.0,126.73074,77.541046,0.0
0.0,51.511967,32.368355,0.0
121.391716,36.31848,0.0,112.70903
64.57268,29.093351,0.0,101.26122
72.47727,0.0,0.0,127.218735
0.0,0.0,0.0,68.42364
0.0,120.215866,95.64581,0.0
0.0,75.29352,34.381676,0.0
78.47542,100.720215,0.0,155.45776
128.91347,15.168865,0.0,126.95861
48.10629,5.172372,0.0,86.41071
81.376144,0.0,0.0,131.89069
40.581738,0.0,0.0,132.29123
0.0,202.87517,211.38318,0.0
0.0,92.441696,50.098183,0.0
146.01091,40.472813,0.0,130.84718
70.69518,25.02691,0.0,85.53732
89.592674,0.0,0.0,107.82664
58.369797,0.0,0.0,133.51073
0.0,218.08748,225.53444,0.0
0.0,144.69925,80.52055,0.0
0.0,93.119415,51.06782,0.0
145.58357,0.0,0.0,130.93536
68.29954,42.902676,0.0,72.76395
76.43318,42.475456,0.0,113.26815
73.19957,0.0,0.0,115.53071
0.0,0.0,0.0,27.56541
0.0,142.75851,62.051785,0.0
0.0,94.414925,54.651253,0.0
133.90729,31.958363,0.0,132.1329
65.29641,21.795256,0.0,77.90335
65.02367,0.0,0.0,107.57183
72.73722,0.0,0.0,123.307274
0.0,224.30913,0.0,0.0
0.0,132.45317,81.66135,0.0
0.0,66.844574,45.02821,0.0
172.63333,0.0,0.0,143.31255
66.0984,63.092655,0.0,74.841705
77.00041,0.0,0.0,133.8074
61.33318,0.0,0.0,124.95353
0.0,193.1804,74.76879,0.0
0.0,128.08273,76.08486,0.0
0.0,74.17243,63.234764,0.0
135.80527,0.0,0.0,150.79839
95.11865,45.651737,0.0,65.27215
76.753334,0.0,0.0,106.02084
83.72527,0.0,0.0,128.92004
0.0,0.0,0.0,48.11206
0.0,128.87288,75.9721,0.0
0.0,68.74555,47.496742,0.0
126.522255,0.0,0.0,175.35504
71.67611,70.56083,0.0,57.173843
73.35014,0.0,0.0,105.04343
50.14015,0.0,0.0,133.32182
0.0,143.31003,116.78381,0.0
0.0,102.42354,59.95158,0.0
181.98311,0.0,0.0,0.0
93.856575,49.04144,0.0,90.74336
67.844215,66.49572,0.0,104.666435
81.546974,0.0,0.0,146.31313
0.0,153.85165,196.76306,0.0
0.0,119.25848,72.34761,0.0
0.0,0.0,30.553755,0.0
117.02529,45.44754,0.0,117.01896
44.081875,34.07368,0.0,87.90643
59.779434,0.0,0.0,118.71549
65.11744,0.0,0.0,138.06906
0.0,192.19597,165.06194,0.0
0.0,99.70747,53.654217,0.0
0.0,27.981182,0.0,120.3869
79.78429,64.45645,0.0,78.09317
70.93135,30.013824,0.0,95.01995
67.347404,0.0,0.0,120.045105
144.27188,0.0,0.0,69.31557
0.0,142.98367,67.16852,0.0
0.0,58.206932,34.41669,0.0
124.143425,33.536575,0.0,115.91561
63.00393,31.040207,0.0,82.10466
74.27582,0.0,0.0,117.63024
37.994534,0.0,0.0,130.1323
0.0,146.75906,196.59302,0.0
0.0,90.625,74.57135,0.0
0.0,46.628464,23.846813,0.0
104.48933,57.13947,0.0,107.27724
76.48052,51.1931,0.0,66.34163
68.356064,0.0,0.0,98.67637
36.8304,0.0,0.0,142.6125
0.0,138.5849,83.97886,0.0
0.0,128.83482,76.104065,0.0
0.0,87.936714,59.828037,0.0
0.0,28.019276,0.0,191.02051
90.98536,62.779884,0.0,89.26751
75.67855,9.57303,0.0,99.58525
66.03855,0.0,0.0,84.1682
38.672424,0.0,0.0,139.13629
0.0,0.0,0.0,0.0
0.0,148.96973,72.67651,0.0
0.0,90.238464,44.289173,0.0
82.35239,0.0,0.0,187.15424
132.99782,24.0368,0.0,119.86482
65.05905,28.190004,0.0,63.289177
92.51983,0.0,0.0,140.99396
37.868587,0.0,0.0,113.87503
0.0,147.52188,141.32327,0.0
0.0,73.3074,68.207306,0.0
72.85068,97.97445,0.0,96.97756
61.352592,47.67068,0.0,63.53128
82.28055,32.412884,0.0,116.70928
71.74371,0.0,0.0,123.42378
0.0,0.0,0.0,49.86266
0.0,119.84742,115.85452,0.0
0.0,102.65204,63.06913,0.0
0.0,34.70548,17.135326,0.0
108.90272,94.13961,0.0,33.961964
72.32353,92.27535,55.42717,11.725261
0.0,75.756454,114.466034,0.0
40.055588,17.658148,14.304293,0.0
76.82992,55.92447,0.0,81.29591
66.56577,0.0,0.0,101.47977
58.03493,0.0,0.0,105.10498
57.54169,0.0,0.0,105.62804
0.0,155.25632,75.761604,0.0
0.0,82.6947,55.22673,0.0
145.02968,0.0,0.0,185.15375
72.59241,57.40525,0.0,60.442215
71.87635,65.404594,0.0,108.54552
57.783096,0.0,0.0,115.63856
0.0,206.0344,207.70984,0.0
0.0,129.64479,80.42999,0.0
0.0,35.738106,43.676216,0.0
124.80738,59.6963,0.0,102.27065
81.438034,43.0879,0.0,95.53875
73.27246,0.0,0.0,103.282425
63.61376,0.0,0.0,138.65065
0.0,205.7019,0.0,0.0
0.0,127.98841,68.27135,0.0
0.0,59.02001,27.9295,0.0
149.94371,6.899567,0.0,138.60524
62.570923,26.134365,0.0,69.268005
77.614746,0.0,0.0,123.28781
61.92524,0.0,0.0,138.94318
0.0,132.2028,91.45267,0.0
