Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12
0.19453394,-0.0,-0.0,-0.22142555,0.0,0.0,-0.18424848,-0.0,-0.0,0.38833252,-0.0,0.0
0.228553,0.3923112,0.1363019,0.042397518,-0.022449836,0.012708582,-0.041593406,-0.14279991,0.035836436,-0.0065925806,-0.5574196,-0.42209253
0.25746498,0.5246869,0.13871911,0.014532028,0.18037054,-0.07846537,-0.037957653,-0.18866707,0.19256209,-0.11529508,-0.46492168,-0.18139836
0.21851969,0.2675884,0.14063954,0.18538083,0.30291584,-0.045488525,-0.20307681,-0.4597903,0.3506624,-0.19516699,-0.23139414,-0.4229581
0.3385721,0.046545688,0.21393406,0.3067087,0.3570669,0.13898507,-0.52378464,-0.96263725,0.40000233,-0.27062932,0.04492923,-0.5519632
0.3671441,-0.19769426,0.14171314,0.43858486,0.43027145,0.40020454,-0.91508305,-0.77847594,0.3999638,-0.2865726,0.42496225,-0.5749193
0.39869812,-0.26531747,-0.057902116,0.16785774,0.5104056,-0.5084318,-1.34677,-0.29164284,0.39989373,-0.39799175,0.5538837,-0.4206222
0.39141133,-0.32684347,-0.057903383,-0.17788969,-0.046277765,-0.97843045,-1.0499605,0.3554907,0.32215512,-0.607892,0.5379332,-0.029429663
0.9459546,0.2972915,0.4000002,0.16722575,0.011649121,-0.45707604,-0.20504174,-0.2607027,0.047082264,0.342396,0.009448085,-0.93198705
0.5889715,0.88592064,0.22992882,0.26065373,0.19201082,-0.34563512,-0.21225159,-0.49967477,0.0064568757,-0.018891511,-0.49182752,-0.3625361
0.39813808,0.5027364,0.18415567,0.21121933,0.25113565,-0.3624724,-0.35465702,-0.91825944,0.39999872,-0.0965621,-0.11796278,-0.24272327
0.4327339,0.1923785,0.29735312,0.24866538,0.37394866,-0.17356716,-0.87982845,-1.1080877,0.3640877,-0.06633466,0.21763626,-0.35625723
0.42725146,-0.03906098,0.27778068,0.09846615,0.27613607,-0.47240722,-1.2343277,-0.7517919,0.39997596,-0.050904654,0.4729843,-0.3576739
0.4346222,-0.26780993,0.08037133,-0.32946992,-0.19992009,-1.0693198,-1.2534227,0.07834017,0.37005442,-0.14043587,0.6517853,-0.10206403
0.8608201,0.023692634,0.40000018,0.061733287,-0.21459325,-0.5315297,-0.32793632,-0.111970656,0.05206799,0.22893211,0.1882429,-0.6817178
0.7535724,0.7519132,0.40000007,0.05563043,0.11145986,-0.5805127,-0.32936984,-0.30861005,0.036072053,0.13608985,-0.478041,-0.67536026
0.49594912,0.83087313,0.09547338,0.0807532,0.35473242,-0.42150956,-0.34816977,-0.51819384,-0.054725613,-0.18054678,-0.49895987,-0.20256338
0.48327044,0.428775,0.2315715,0.05771392,0.36443946,-0.46622816,-0.61681914,-0.9755955,0.4000053,-0.14326274,-0.0397682,-0.313021
0.4930927,0.15363854,0.2714138,0.12816222,0.41293007,-0.2275168,-1.000262,-1.1093305,0.4000002,-0.1593742,0.2503479,-0.35464832
0.49032003,-0.14292765,0.20870678,-0.02017151,0.23960213,-0.56680757,-1.3336316,-0.6600223,0.3999543,-0.17413612,0.53895986,-0.281996
0.4879197,-0.2830988,0.0052655903,-0.31990024,-0.07769612,-0.98985976,-1.2749599,0.05109503,0.39999485,-0.25141236,0.65619,-0.048820376
0.8894882,-0.14893015,0.4000002,0.06988668,-0.17299435,-0.4566166,-0.22351289,-0.13002111,-0.076029375,0.09138279,0.49719647,-0.6528288
0.8744646,0.54361826,0.4000001,0.0788579,0.13423216,-0.5450423,-0.31372827,-0.33746234,-0.008464937,0.23136859,-0.22412501,-0.81272465
0.57544464,0.9540541,0.16098537,0.12656163,0.3187687,-0.38262266,-0.31587973,-0.4884764,-0.13291195,-0.08397148,-0.5386128,-0.29864174
0.4114044,0.6090263,0.13596882,0.108317554,0.34215802,-0.37598246,-0.41210753,-0.874975,0.3956053,-0.10040073,-0.17336315,-0.18916729
