Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12
0.17951947,-0.0,-0.0,-0.40592483,0.0,0.0,-0.34802297,-0.0,-0.0,0.2171895,-0.0,0.0
0.35764283,0.28858367,0.37203255,0.04308834,-0.114891805,0.26743793,0.07972179,-0.22191565,-0.15184899,0.122278646,-0.38270196,-0.4995679
0.23536958,0.6258052,0.059319653,0.08021644,0.120305225,-0.035147246,0.016615674,-0.51113456,0.013163486,-0.06778856,-0.3961231,-0.060157083
0.35552612,0.38582465,0.086661935,0.22545967,0.27181846,-0.116659395,-0.1992082,-0.99796844,0.4000069,-0.14847203,-0.16337872,-0.3994873
0.43879852,0.030437218,0.22459933,0.38967142,0.3630688,0.08847832,-0.57460916,-1.1949866,0.39999962,-0.23426701,0.13797088,-0.44579914
0.4191431,-0.1965348,0.095387235,0.3430184,0.47640342,0.025305856,-1.0882677,-0.7276902,0.3999177,-0.22313562,0.48840618,-0.4300781
0.4227163,-0.26768416,-0.1244691,-0.16733065,0.1979664,-0.9170227,-1.3913512,-0.22906496,0.4000216,-0.33956513,0.5871626,-0.22680597
0.56796324,-0.34896216,0.4000002,-0.0037311488,-0.2282477,-0.41800132,-0.5240868,0.16639586,0.030244565,-0.25414753,0.6188259,-0.2850835
0.84295404,0.47970507,0.40000015,0.04802871,0.10591383,-0.48038375,-0.25432396,-0.29072958,0.09255503,0.3442993,-0.24788673,-0.72668505
0.6305026,0.89333564,0.21925583,0.06090905,0.33341378,-0.35981607,-0.2563917,-0.48749018,0.024288563,-0.058777064,-0.68291855,-0.45577174
0.44364852,0.6092418,0.12131416,0.060771264,0.34925318,-0.4022571,-0.32651612,-0.87590134,0.36033168,-0.17995393,-0.16276485,-0.087062225
0.48270264,0.3043832,0.29109314,0.10246128,0.41251862,-0.15938538,-0.8306229,-1.1865721,0.39999735,-0.097573444,0.15923251,-0.26315135
0.45296523,0.053658366,0.30234078,0.10231209,0.39367118,-0.22107807,-1.1820956,-0.974751,0.3999799,-0.07326294,0.39395523,-0.26439023
0.4453486,-0.1792204,0.14307302,-0.25823537,0.0351544,-0.9978297,-1.4050295,-0.14879496,0.38665745,-0.1303529,0.59867626,-0.073635824
0.8402064,-0.19127111,0.4000002,0.06659323,-0.31906393,-0.46813676,-0.31549135,-0.017048396,-0.035164088,0.14794672,0.5236467,-0.6084752
0.84493476,0.5466335,0.40000013,0.053123552,0.013319269,-0.5646473,-0.36753184,-0.25076026,0.046402898,0.24433501,-0.24146873,-0.7529579
0.60718024,0.95694846,0.23250665,0.059875473,0.29480463,-0.45505312,-0.38203287,-0.46876517,-0.04233257,-0.05812396,-0.63549477,-0.417497
0.45871574,0.57604754,0.19721714,0.09153683,0.33452696,-0.3970811,-0.4609258,-0.8464858,0.39100575,-0.10913492,-0.1592666,-0.29538482
0.4740219,0.24354053,0.3453099,0.10832347,0.39542243,-0.19877815,-0.8997889,-1.1177807,0.3999996,-0.07430228,0.18784694,-0.42958727
0.48433053,-0.10606895,0.337481,0.0064524217,0.27737188,-0.5753583,-1.3062745,-0.7408157,0.39999935,-0.09516921,0.5204082,-0.38350636
0.46795738,-0.26082736,0.13922076,-0.27043226,-0.032990612,-0.9611169,-1.3474895,-0.1272569,0.39998144,-0.1613943,0.66112745,-0.16169225
0.68175715,-0.35260555,0.40000024,0.03175836,-0.38335222,-0.42007402,-0.30957952,0.028495116,-0.051569242,-0.09002086,0.69900346,-0.45816064
0.90510255,0.47210908,0.40000013,0.020802971,-0.019190796,-0.5598211,-0.27490592,-0.29766852,0.067437425,0.23583838,-0.07860344,-0.8139121
0.6411538,0.9399923,0.3014439,0.07676216,0.25068787,-0.49351653,-0.30769125,-0.46722668,-0.012725978,-0.03135347,-0.63181883,-0.5590443
0.40989357,0.68774533,0.02845662,0.09618661,0.3451323,-0.399546,-0.2775308,-0.77318066,0.16058078,-0.19608763,-0.28692043,0.03469441
0.53887916,0.3225133,0.28970674,0.038731467,0.33796164,-0.41559705,-0.7782085,-1.0576798,0.40000266,-0.07639778,0.1295165,-0.36715293
0.53401995,0.045419794,0.29639226,0.06891525,0.34221578,-0.42495245,-1.1921937,-0.98904824,0.40000018,-0.09803121,0.3967598,-0.35308704
0.53343135,-0.14048596,0.22246076,-0.12156795,0.10919121,-0.7476972,-1.3627384,-0.50381404,0.3999596,-0.10854473,0.5771242,-0.25038728
0.51681775,-0.24184953,0.040822167,-0.3050167,-0.13753806,-1.0626352,-1.2308134,0.074240744,0.3855946,-0.17207666,0.66268307,-0.03903401
0.7120805,-0.3197703,0.40000027,0.100477144,-0.39433855,-0.36956048,-0.3409204,0.0651186,-0.037900012,-0.0472492,0.62352234,-0.35965514
0.9388844,0.3154729,0.40000015,0.10079739,-0.04965515,-0.55302566,-0.3138445,-0.20381698,0.029771011,0.25598943,-0.066842616,-0.7681315
0.68634635,0.89665484,0.30134186,0.120186165,0.1739962,-0.50239813,-0.3182925,-0.35371417,-0.046895925,0.00089673384,-0.57896405,-0.5191008
0.31982082,0.7476916,0.009166579,0.15487367,0.30316254,-0.4147731,-0.2936656,-0.69862497,0.1600815,-0.17144778,-0.25495017,-0.009771358
0.46020678,0.4207747,0.2980339,0.13782121,0.354016,-0.37565994,-0.6455672,-1.0130864,0.40000093,-0.08828492,0.08616767,-0.3012896
0.43635863,0.15210845,0.35187307,0.14465705,0.3955147,-0.30854097,-1.0786333,-1.0036241,0.3999972,-0.06422782,0.33791235,-0.32785553
0.4521995,-0.059019282,0.31509933,-0.02836002,0.31530732,-0.63623667,-1.3727968,-0.6307075,0.399993,-0.0989489,0.5145214,-0.2424693
0.45386797,-0.20661215,0.17924972,-0.31991336,-0.041598022,-1.0723684,-1.3521651,-0.08272357,0.39627022,-0.1706213,0.6120842,-0.047353268
0.5816771,-0.33570075,0.40000018,-0.009905757,-0.3942894,-0.47323063,-0.51624894,0.14029478,0.017733289,-0.17618532,0.6576337,-0.17530812
0.9360704,0.267057,0.40000013,0.030504785,-0.029281339,-0.53879446,-0.2959886,-0.16686025,-0.029738532,0.26604307,0.03460353,-0.8361753
0.6494232,0.8873847,0.27452832,0.074778795,0.21534337,-0.47181284,-0.32979235,-0.34568208,-0.062058054,0.028430376,-0.5920844,-0.52791613
0.31180382,0.6981347,-0.01671375,0.10701255,0.37628272,-0.3834993,-0.3613102,-0.66506064,0.20951642,-0.18199283,-0.32255325,-0.04388551
0.48433623,0.22787158,0.34345326,0.061520595,0.32687038,-0.46565142,-0.89317423,-1.0071908,0.4000041,-0.10395977,0.14564525,-0.36696067
0.4655144,0.014171581,0.312397,0.029408153,0.30911523,-0.4410926,-1.1629105,-0.86971956,0.40000045,-0.11066854,0.3833486,-0.3786421
0.47876492,-0.21862465,0.19698067,-0.20965536,0.10585458,-0.8003963,-1.4093628,-0.373776,0.39995962,-0.15991092,0.58460325,-0.2101109
0.43397108,-0.329143,0.1408874,-0.2834749,-0.22523223,-1.0989461,-1.1163546,0.1576644,0.30491373,-0.25902557,0.6318609,0.04747269
0.95023185,0.14260308,0.40000015,0.029637048,-0.06451092,-0.5757575,-0.2542556,-0.15897408,-0.010112818,0.20795007,0.13907985,-0.8390507
0.7236064,0.8296492,0.40000004,0.06374803,0.19768769,-0.544003,-0.28035578,-0.33044493,-0.039344892,0.0922336,-0.5257707,-0.6268871
0.35452297,0.71862286,0.03281837,0.16009223,0.35591978,-0.30284384,-0.32133093,-0.6244246,0.033806495,-0.21110539,-0.27679434,-0.07191062
0.45949888,0.34011388,0.31136855,0.08725918,0.2716295,-0.5023348,-0.8235354,-0.9805966,0.4000087,-0.12722088,0.11595572,-0.35459805
0.45762372,0.034228306,0.3318373,0.0760585,0.2888522,-0.3854593,-1.1621008,-0.9204753,0.39387766,-0.1498245,0.39714488,-0.34604686
0.42838576,-0.16301027,0.22153437,-0.11568325,0.20260951,-0.7562341,-1.3641007,-0.47510132,0.3999587,-0.17544146,0.5725825,-0.21935749
0.4031965,-0.32325467,0.19133583,-0.26135626,-0.25551233,-1.1387428,-1.0265946,0.22418477,0.26059082,-0.28711706,0.6395497,0.041480538
0.94403493,0.1606134,0.40000018,0.059036147,-0.044430744,-0.5297872,-0.3453507,-0.17998084,0.021034641,0.26894647,0.11070865,-0.81291103
0.7434985,0.84188485,0.39498627,0.067273244,0.20112452,-0.4920364,-0.33571702,-0.33696705,-0.033189777,0.10895426,-0.56762564,-0.63129693
0.47454402,0.8646162,0.046023466,0.11036852,0.37694472,-0.32207075,-0.36542723,-0.5974221,0.06744792,-0.19469848,-0.45148936,-0.0029577443
