feet_1,feet_2,feet_3,feet_4
0.0,0.0,0.0,0.0
0.0,0.0,88.22001,0.0
0.0,144.19661,137.23447,0.0
0.0,98.403015,55.871742,0.0
0.0,1.4140519,0.0,133.85323
44.28365,56.861176,0.0,83.78014
46.913086,0.0,0.0,110.85223
56.43478,0.0,0.0,144.60553
0.0,0.0,0.0,30.643446
0.0,116.19562,82.63799,0.0
0.0,78.978836,59.28897,0.0
0.0,0.0,0.0,118.99549
94.13672,34.002403,0.0,91.88907
71.97291,26.267752,0.0,98.15315
58.995647,0.0,0.0,148.91957
0.0,0.0,0.0,11.715945
0.0,118.68933,70.75476,0.0
0.0,76.21398,61.362423,0.0
87.89881,0.0,0.0,0.0
87.43062,55.092125,0.0,81.68097
75.0163,0.0,0.0,116.6876
47.490658,0.0,0.0,139.16231
0.0,211.9718,290.00653,0.0
0.0,140.25574,83.128334,0.0
0.0,74.36746,62.668617,0.0
182.59378,49.04049,0.0,129.79794
92.03025,42.09459,0.0,85.020386
72.82332,45.87273,0.0,110.74103
59.375538,0.0,0.0,99.524826
42.865215,0.0,0.0,122.53119
0.0,0.0,0.0,0.0
0.0,129.33984,61.03876,0.0
0.0,100.69033,40.10391,0.0
0.0,43.058372,41.230755,0.0
121.10753,47.515762,0.0,100.24969
65.76089,29.617655,0.0,91.34309
77.115654,0.0,0.0,93.02811
88.42175,0.0,0.0,132.25592
142.34698,0.0,0.0,46.002945
0.0,164.98842,74.68381,0.0
0.0,88.9145,56.337196,0.0
151.6084,29.079945,0.0,158.45801
75.57663,27.13188,0.0,89.36537
89.777855,0.0,0.0,110.315155
90.495094,0.0,0.0,114.778175
96.49019,0.0,0.0,63.81026
0.0,157.37117,58.150673,0.0
0.0,92.99674,57.783638,0.0
204.07397,0.0,0.0,171.29405
98.859314,66.73045,0.0,92.55026
52.54786,54.23668,0.0,94.94216
80.21524,0.0,0.0,101.017166
94.74479,0.0,0.0,89.70968
0.0,208.72484,93.49792,0.0
0.0,112.46234,72.92431,0.0
0.0,53.09144,29.121002,0.0
74.93531,15.217861,0.0,73.39934
75.76979,0.0,0.0,109.86494
46.828087,0.0,0.0,115.88099
0.0,145.91805,115.47843,0.0
0.0,99.88209,66.08752,0.0
0.0,46.24908,25.909227,0.0
137.68175,16.136868,0.0,135.0714
49.651638,27.951796,0.0,91.607956
63.703854,39.88937,0.0,99.41105
54.99418,0.0,0.0,166.05885
0.0,0.0,0.0,0.0
0.0,140.1036,51.233387,0.0
0.0,62.8696,32.957615,0.0
153.49742,23.794977,0.0,127.110115
57.754177,25.345404,0.0,55.202175
85.81653,0.0,0.0,104.75228
64.670616,0.0,0.0,133.95638
0.0,219.71796,0.0,0.0
0.0,92.069016,60.354477,0.0
0.0,51.370068,21.946972,0.0
105.6971,59.699356,0.0,95.758095
50.06134,19.95258,0.0,88.382
73.72674,0.0,0.0,138.98383
0.0,0.0,0.0,35.13702
0.0,152.39915,85.881165,0.0
0.0,99.32969,77.66882,0.0
0.0,41.759586,23.456964,0.0
94.715385,61.29037,0.0,92.32815
70.79875,0.0,0.0,82.57584
62.90028,0.0,0.0,115.76349
0.0,0.0,0.0,0.0
0.0,153.90761,83.51271,0.0
0.0,90.19909,67.50058,0.0
0.0,55.64056,13.389746,0.0
81.8341,76.60734,0.0,75.10184
66.37583,0.0,0.0,90.461716
73.18466,0.0,0.0,115.24798
0.0,0.0,0.0,35.349083
0.0,117.38779,53.36578,0.0
0.0,51.28388,61.002056,0.0
141.29669,0.0,0.0,116.92356
83.35101,17.432728,0.0,69.81974
88.57365,0.0,0.0,122.399055
77.75202,0.0,0.0,130.45248
0.0,121.11479,197.80086,0.0
0.0,110.49073,60.062122,0.0
0.0,76.40731,56.2811,0.0
103.45272,0.0,0.0,184.54684
58.721554,49.713123,0.0,61.281593
67.20454,10.804372,0.0,81.41549
70.959785,0.0,0.0,120.774925
100.09257,0.0,0.0,82.398605
0.0,110.39191,65.97777,0.0
0.0,29.244572,28.913017,0.0
132.08113,48.154938,0.0,133.13733
63.251476,0.0,0.0,87.65776
78.54016,0.0,0.0,96.84093
55.83064,0.0,0.0,125.6244
0.0,217.06763,230.3021,0.0
0.0,151.15051,67.12829,0.0
0.0,73.56125,40.68134,0.0
127.06498,0.0,0.0,200.5471
82.82572,61.319,0.0,75.000725
74.46606,0.0,0.0,96.9293
