Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2916844,4.8862348,-1.2975848,14.0753565,-4.061488,11.060601,14.285964,-5.588483,-10.020821,-0.003774166,7.2053523,-3.1965415
-0.7060952,0.14390182,-3.0392601,11.132829,-1.3466557,12.555099,12.157704,-10.363323,-13.017994,2.3804398,2.9766457,2.621544
-0.5175898,0.2684983,1.8195958,6.9687767,-0.4169255,8.675824,8.872327,-8.700859,-9.10326,-0.41615963,-0.19349897,-0.32218263
0.37194276,-0.74712765,1.8524735,1.9903063,-3.6873853,0.061594725,4.040542,-1.8296127,-1.3010106,0.07438803,1.2897961,-1.5265865
-9.57153,-3.5833514,-5.689421,0.6946484,-10.239818,-4.902784,0.26281118,1.0082526,2.0149996,-0.78281605,5.485345,15.949344
-9.982221,-2.6504955,-3.6526682,-0.12843752,-12.145541,5.9638634,-3.4545565,0.98327947,0.9856138,-2.794023,0.08968663,16.197344
-5.170472,5.956748,-0.7860304,-1.2919507,-2.230276,0.69955444,0.58198214,-0.85466456,3.636678,-3.7191944,-1.048386,12.206934
-7.6585236,4.535017,0.5711384,0.04466951,1.3199623,0.099105716,-0.4279039,-1.4865494,1.7257954,-3.2565968,-6.893095,7.5765815
-1.2121236,0.15368795,14.557522,7.843172,7.1001062,19.415659,16.848845,-7.9437323,-5.8518004,-1.7143428,3.23635,-0.22507238
1.369456,-1.6131265,4.8483906,4.7809486,-0.043674707,11.414807,9.596368,-4.1171684,-2.5175722,0.46970773,1.332891,-0.67980146
-0.24958396,-0.82375,-0.95487434,5.7157793,-3.0335076,3.0293524,6.164904,-1.0188966,-0.4065504,0.66091657,1.3975229,0.57623255
