base_vel_x,base_vel_y,base_vel_z,base_vel_yaw
-0.0016356529,-0.003118386,1.0007046,-0.005633449
0.37673447,0.24639882,-0.5608295,0.1764709
0.34821257,0.10833279,-0.06682355,-0.12307679
0.48320845,0.05124148,0.119349994,-0.061953463
0.6569868,-0.01159766,0.13998297,-0.008693738
0.7220977,-0.09638019,-0.10115491,0.032510478
0.74553514,0.01989767,-0.05234841,-0.024886675
0.9429186,0.0033007152,-0.22280298,-0.16913272
0.8042827,-0.009929129,-0.17794153,-0.037590515
0.8253289,0.10035835,0.019868232,0.04445908
0.7773078,0.15606336,-0.022080136,0.05291988
0.7772921,0.14223498,0.027803142,0.28821716
0.6807253,0.038899258,-0.22176021,-0.23870051
0.8408927,0.0397754,-0.094018064,-0.093835086
0.950892,0.016031917,-0.37265557,0.1799139
0.8387655,0.021511111,-0.03542342,-0.07057393
0.8096651,0.05551146,0.0072596725,-0.121047854
0.8168291,0.0942573,0.094556935,0.059068453
0.90132385,0.0023388036,-0.02891442,0.41053745
0.82749516,0.012534937,-0.06910085,-0.09842622
0.93987715,-0.009511852,-0.0817273,-0.02771386
0.8258308,-0.010549615,-0.17424282,0.0934244
0.7786134,0.051108357,0.014857313,-0.015964612
0.7538722,0.08416695,0.036391,0.116059415
0.7692724,0.13559452,0.026081651,0.27470177
0.7489771,0.112715304,0.037719026,0.06865944
0.6998821,0.011406341,-0.15709096,-0.2408289
0.7832107,-0.020909946,-0.04915591,-0.060010966
0.9045745,-0.007098355,-0.13278545,-0.3210389
0.86093104,-0.025468215,-0.3226546,0.14746784
0.76769865,-0.00025139912,-0.06311776,-0.16199344
0.8030079,0.086152226,-0.07334069,-0.09896075
0.8025371,0.07268126,0.0076944884,0.28515062
0.8184113,0.1294462,0.07059557,0.25430784
0.8399541,0.087328054,0.08445224,0.07735562
0.767438,0.014653197,-0.12730157,-0.3049065
0.8234451,0.0076217796,-0.043992076,-0.12078514
0.9304843,-0.002877785,-0.11898151,-0.109716356
0.87571377,-0.048459932,-0.3612991,0.27003568
0.75390923,0.003574775,0.010652551,-0.016675124
0.8229312,0.040825225,0.023849046,-0.08030524
0.7856553,0.10609623,0.00096218626,-0.074292935
0.81682336,0.016236018,-0.1458263,0.5057325
0.7398499,0.043679915,-0.077321306,-0.10291086
0.85824555,0.031770177,-0.06287755,-0.14853458
0.99689627,0.005750786,-0.37881696,-0.098607495
0.8422528,0.020550352,0.020205181,-0.20681545
0.7810654,0.064008236,0.0050964365,0.2539897
0.7713364,0.15231578,0.0056542465,0.0069722743
0.75649333,0.15150516,0.04210909,-0.06399199
0.6960058,0.087430604,-0.10403476,-0.30497763
0.83785576,0.007681766,-0.112820126,-0.12196938
0.9293848,-0.024692686,-0.27303064,-0.31244546
0.78556925,0.014360743,-0.12917744,0.05855
0.86396575,0.07058134,-0.005381787,0.026806386
0.8161377,0.06463439,-0.03840821,0.38916403
0.81062484,0.08222733,0.013597276,0.14533329
0.8569043,0.0049595814,-0.06225951,-0.086383656
0.95024335,-0.028415103,-0.25622717,-0.2061117
0.7613863,0.033548392,-0.081321895,-0.12288554
0.81190884,0.016126825,0.012791531,0.22108075
0.77151906,0.039314132,0.022855585,0.0005219673
0.7919218,0.03317637,0.10443183,0.14687334
0.75740576,-0.061396003,-0.30308035,-0.37698454
0.7437361,-0.045184415,-0.044096608,0.040182877
0.88378984,-0.062322386,-0.11760927,-0.07492187
0.82495266,-0.064701185,-0.37883535,0.045787424
0.73511404,0.011520421,-0.03164695,-0.1986112
