base_vel_x,base_vel_y,base_vel_z,base_vel_yaw
-0.0016704686,-0.0030776137,1.0007275,-0.005556982
0.3232245,0.4238234,-0.060215373,-0.13751009
0.5380372,0.44037774,-0.56905615,-0.534859
0.35111883,0.3222144,-0.31533816,-0.0033016219
0.67771816,0.18845493,-0.080259316,-0.1226754
0.7176018,0.088594526,-0.14084832,0.22657913
0.72698456,0.12347983,0.07200211,0.29333442
0.8001075,0.14305343,0.18532288,-0.11905923
0.7438451,0.05852965,-0.21609159,-0.15486957
0.93339884,0.040141203,-0.08418036,-0.112402216
0.9547371,-0.052075956,-0.3476969,0.6756763
0.8117025,0.022022735,0.008956651,-0.12448123
0.7875737,0.089984,0.006558819,0.084453344
0.78462744,0.14451216,0.04433584,0.16160364
0.80124545,0.0471959,-0.07345302,0.37814543
0.79074633,0.033879448,-0.033857923,-0.25815037
0.9426282,0.012600884,-0.20060562,-0.18267933
0.83000696,-0.023926271,-0.29647896,0.66254604
0.8258949,0.026102234,-0.030069552,-0.007817284
0.8267234,0.13992922,-0.024014339,0.19367822
0.8299251,0.19218515,0.047138695,0.016844591
0.7975563,0.07456762,-0.25986606,0.31661084
0.79582775,0.035470534,-0.008666856,-0.082583286
0.9327755,0.02558501,-0.16813251,-0.173301
0.9058266,-0.016214067,-0.4109096,0.14185211
0.8395715,0.0031734363,0.028434787,-0.024145298
0.81732154,0.0680231,0.049569122,0.008683645
0.7931692,0.0951307,0.019977208,0.08931305
0.8185075,0.06385219,0.12892668,0.15103802
0.7525677,-0.02266295,-0.19747804,-0.28742817
0.84983677,-0.01768232,-0.044189073,-0.04260741
0.9881363,-0.037822627,-0.17739877,-0.27375984
0.89349985,-0.022928521,-0.3473728,0.22134447
0.75077146,0.030625563,0.033312604,-0.05181528
0.76421404,0.019490743,-0.010333393,0.033172406
0.7630809,0.07347693,-0.08930902,0.122888
0.72813845,0.12740399,0.017560344,-0.1087603
0.75417984,0.055751808,-0.073170014,0.34503368
0.7004588,0.023016464,-0.06942112,-0.27537522
0.81001514,-0.00995289,-0.044685997,-0.15888795
0.92249423,-0.06075031,-0.27399406,-0.34667984
0.7602512,0.032816343,-0.0032390659,-0.0016667154
0.8097107,0.024815891,-0.009837484,0.065257564
0.8010915,0.123631366,-0.040019263,0.045434643
0.81125236,0.15663722,0.058320444,-0.09394579
0.75978327,0.09202867,-0.17998353,-0.38109422
0.8809401,0.026844738,-0.14464276,-0.15714604
0.9697963,-0.024641883,-0.49314207,-0.074880056
0.8296964,0.03621278,-0.07410214,-0.232713
0.7883906,0.11296511,-0.014907406,0.085205026
0.78259504,0.17764892,-0.009198248,-0.15829973
