feet_1,feet_2,feet_3,feet_4
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,167.03568,110.260735,30.106535
0.0,105.59634,11.087662,10.01682
0.0,32.19781,0.0,124.92712
30.906874,54.75887,0.0,117.40089
56.950516,19.896431,0.0,159.51823
0.0,0.0,0.0,140.46819
0.0,83.84341,98.23864,0.0
0.0,78.01215,35.752316,0.0
177.6706,13.490216,0.0,140.09737
79.05572,35.369595,0.0,81.23084
69.63078,20.432905,0.0,110.75486
75.729904,0.0,0.0,127.54616
0.0,219.32704,0.0,0.0
0.0,121.67178,66.38413,0.0
0.0,67.31344,51.427353,0.0
146.85744,34.887745,0.0,133.10349
85.21786,40.227642,0.0,80.01244
59.825886,9.8545475,0.0,86.00953
65.57761,0.0,0.0,142.19643
0.0,219.45172,215.2493,0.0
0.0,127.569305,66.31479,0.0
0.0,70.978264,54.07554,0.0
162.38458,14.364759,0.0,189.2737
98.1526,32.365448,0.0,97.26994
77.223625,41.929703,0.0,98.10362
75.38386,0.0,0.0,125.01174
71.87236,0.0,0.0,136.96602
0.0,0.0,0.0,0.0
0.0,158.45134,87.907234,0.0
0.0,80.50372,51.235794,0.0
0.0,34.662815,21.578724,0.0
154.22092,0.0,0.0,141.59421
83.428894,43.20868,0.0,73.180214
92.56067,0.0,0.0,107.8065
64.12761,0.0,0.0,105.906525
41.214233,0.0,0.0,121.96816
0.0,261.15976,0.0,0.0
0.0,105.03459,63.397747,0.0
0.0,82.514175,58.46223,0.0
134.9137,0.0,0.0,153.6144
74.05874,32.33295,0.0,69.19771
68.89159,0.0,0.0,90.85867
82.405365,0.0,0.0,146.23456
0.0,0.0,0.0,65.73635
0.0,143.2893,73.51411,0.0
0.0,78.144485,45.699684,0.0
154.6582,19.592962,0.0,146.05313
83.05893,28.937033,0.0,83.48158
71.97601,0.0,0.0,112.16402
69.91833,0.0,0.0,128.31909
0.0,0.0,0.0,0.0
0.0,126.48573,73.7565,0.0
0.0,97.14102,66.04848,0.0
0.0,33.294155,43.654488,108.59956
38.33777,27.783781,0.0,68.73646
92.09618,0.0,0.0,128.2979
0.0,0.0,0.0,24.421478
0.0,164.469,75.9368,0.0
0.0,80.40112,41.603203,0.0
0.0,73.95881,38.557507,129.28651
108.707275,41.188488,0.0,102.80037
64.61198,46.52061,0.0,93.58525
89.83295,0.0,0.0,118.739784
90.92554,0.0,0.0,106.45106
0.0,136.3018,134.77129,0.0
0.0,102.84567,81.538376,0.0
157.01172,0.0,0.0,0.0
100.36305,57.834614,0.0,113.400375
68.19076,44.593143,0.0,81.823715
80.16795,0.0,0.0,134.52882
144.18295,0.0,0.0,61.069405
0.0,142.55237,69.96535,0.0
0.0,65.199615,34.707623,0.0
147.35707,44.715122,0.0,143.8894
64.21271,22.21693,0.0,99.370865
70.40919,0.0,0.0,113.73221
43.05204,0.0,0.0,127.05873
0.0,155.96393,92.14299,0.0
0.0,115.047874,59.70251,0.0
0.0,102.404495,43.64983,0.0
152.13795,37.69851,0.0,160.49115
66.01049,26.411665,0.0,81.24663
76.21375,54.96556,0.0,110.72549
37.960575,0.0,0.0,103.98102
0.0,166.57274,109.093765,0.0
0.0,112.1028,65.39642,0.0
0.0,42.00492,33.529575,0.0
99.85464,47.633167,0.0,99.85713
62.514603,18.166868,0.0,101.671265
66.12035,0.0,0.0,103.42609
46.917862,0.0,0.0,124.898186
0.0,184.53943,127.95129,0.0
0.0,100.54823,57.312702,0.0
0.0,36.308502,42.955147,111.64703
79.089806,29.528723,0.0,95.65308
76.71644,46.781452,0.0,102.47801
75.502014,0.0,0.0,129.92615
0.0,226.55466,0.0,0.0
0.0,117.147804,63.81498,0.0
0.0,63.618786,39.45778,0.0
0.0,53.997887,0.0,0.0
76.24191,78.32688,0.0,83.8933
82.81721,0.0,0.0,106.85941
67.692604,0.0,0.0,108.614136
44.157112,0.0,0.0,139.1324
0.0,144.0405,68.18595,0.0
0.0,68.25891,56.095345,0.0
99.87422,0.0,0.0,212.47783
93.75601,48.23957,0.0,85.71669
79.76586,0.0,0.0,99.305145
63.961727,0.0,0.0,141.60115
0.0,0.0,0.0,0.0
0.0,129.08295,77.70796,0.0
0.0,105.8244,52.99514,0.0
115.49009,59.716312,29.000753,0.0
81.544426,56.341915,0.0,76.96113
74.30225,40.184715,0.0,87.58668
60.833244,0.0,0.0,146.90456
0.0,0.0,0.0,0.0
0.0,132.97858,79.86641,0.0
0.0,76.27815,57.591026,0.0
140.71048,0.0,0.0,152.12497
55.109745,73.71814,0.0,65.85384
75.72821,0.0,0.0,111.51628
66.712494,0.0,0.0,133.11127
0.0,0.0,0.0,0.0
0.0,158.97365,74.75553,0.0
0.0,82.61365,35.092846,0.0
122.33938,0.0,0.0,164.94916
66.14847,32.03432,0.0,71.805885
84.65278,0.0,0.0,81.57515
57.936348,0.0,0.0,112.90243
0.0,0.0,0.0,0.0
0.0,142.76816,62.693436,0.0
0.0,75.67312,45.79914,0.0
100.25635,29.554003,0.0,189.40558
64.0902,58.83007,0.0,69.84343
57.45405,47.562874,0.0,111.65634
67.608765,0.0,0.0,128.97191
55.26566,0.0,0.0,140.1842
0.0,129.43932,78.60874,0.0
0.0,85.90732,50.48185,0.0
160.3004,63.509357,55.90425,123.87235
94.47233,30.702698,0.0,89.855484
68.65096,0.0,0.0,114.5096
84.81988,0.0,0.0,138.25195
0.0,0.0,0.0,0.0
0.0,103.5318,62.31927,0.0
0.0,95.64594,50.8483,0.0
151.30992,0.0,0.0,145.01137
51.92284,61.34143,0.0,56.12191
64.79216,0.0,0.0,162.28258
59.24782,0.0,0.0,89.98458
0.0,139.18839,88.10005,0.0
0.0,50.32961,28.296455,0.0
137.42902,29.117474,0.0,137.92183
88.00831,7.8884363,0.0,90.895164
74.39323,0.0,0.0,114.50676
45.490257,0.0,0.0,132.02539
0.0,157.12582,93.37871,0.0
0.0,105.145226,52.475693,0.0
0.0,69.257515,0.0,0.0
106.71679,74.50457,0.0,112.500595
70.91144,35.468803,0.0,89.34078
79.228195,0.0,0.0,141.60855
80.03081,0.0,0.0,100.922775
0.0,122.90268,64.198105,0.0
0.0,77.645584,54.497208,0.0
99.05264,0.0,0.0,178.50737
64.07216,70.45896,0.0,59.755814
74.56318,0.0,0.0,123.509636
85.44295,0.0,0.0,133.86926
0.0,0.0,0.0,37.79603
0.0,104.49831,84.834984,0.0
0.0,82.006424,64.33287,0.0
136.9383,6.6434584,0.0,148.71786
100.40692,27.996376,0.0,109.24736
71.73647,50.845356,0.0,88.708496
65.42632,0.0,0.0,130.3147
51.94632,0.0,0.0,110.95094
0.0,146.43907,182.8118,0.0
0.0,114.36873,59.825493,0.0
0.0,64.19444,48.531944,0.0
97.91338,0.0,0.0,182.39551
96.51209,51.364708,0.0,72.993095
77.919014,0.0,0.0,80.88049
90.156975,0.0,0.0,110.4994
64.20453,0.0,0.0,129.44206
0.0,243.08769,0.0,0.0
0.0,118.3851,57.203663,0.0
0.0,87.93771,45.319115,0.0
100.06023,0.0,0.0,179.0844
107.42592,49.89376,0.0,111.842964
69.58404,42.657295,0.0,72.048325
69.96524,0.0,0.0,146.27563
0.0,0.0,0.0,0.0
0.0,109.540436,73.75282,0.0
0.0,75.22161,36.11948,0.0
131.0094,0.0,0.0,169.10219
67.84242,37.787674,0.0,70.0774
54.43365,45.891125,0.0,100.84684
84.793106,0.0,0.0,143.34973
0.0,0.0,0.0,0.0
0.0,125.01649,56.189163,0.0
0.0,121.32414,36.62042,0.0
0.0,66.96474,0.0,90.003624
53.67777,98.60768,0.0,63.04013
61.844616,36.442894,0.0,128.3707
73.18383,0.0,0.0,136.55396
0.0,0.0,0.0,0.0
0.0,139.63864,85.20673,0.0
0.0,82.15264,46.38518,0.0
141.67545,10.828727,0.0,136.37502
58.777172,40.765125,0.0,68.6392
75.13517,0.0,0.0,94.63178
69.816055,0.0,0.0,147.83002
0.0,216.96718,0.0,0.0
0.0,112.77214,69.62512,0.0
0.0,44.04168,24.50444,0.0
143.17001,16.52126,0.0,152.19969
79.002335,44.21888,0.0,79.83184
82.03395,0.0,0.0,104.49468
43.216145,0.0,0.0,154.09123
0.0,166.48941,162.0795,0.0
0.0,113.69637,74.447266,0.0
0.0,66.3331,51.23877,0.0
61.091072,45.14879,0.0,133.59285
82.6916,50.9336,0.0,81.95558
79.09626,40.825134,0.0,102.15484
70.58248,0.0,0.0,137.87827
0.0,0.0,0.0,40.929314
0.0,161.65862,90.17504,0.0
0.0,68.91056,57.138485,0.0
