base_vel_x,base_vel_y,base_vel_z,base_vel_yaw
-0.00164625,-0.0030847506,1.0007423,-0.0056608105
-0.5507469,-0.3521337,-0.76348007,0.16710986
-0.11854664,-0.24008992,-0.12968911,-0.7909768
0.10574344,-0.13344365,0.030850418,-0.68339956
0.32325763,-0.016216166,-0.120751955,-0.21667127
0.5533281,0.02729053,0.057698302,-0.16991746
0.75614953,-0.023663964,0.010007748,0.14290245
0.7646865,0.0882805,0.019568687,0.2969065
0.77087396,0.103836335,0.06528628,0.17858821
0.6988222,0.033639025,-0.054257862,-0.18843417
0.8843455,-0.028427184,-0.17021726,-0.13492642
0.85214704,-0.069362655,-0.4712258,-0.02709978
0.74979734,0.027033942,0.049280576,0.09044726
0.78862596,0.02267635,-0.06536223,0.10965538
0.76453835,0.104560405,-0.024397172,0.19347352
0.82104015,-0.0029950414,-0.22431946,0.45549536
0.79882264,-0.00051029446,-0.022987079,0.11076578
0.9178756,-0.020106908,-0.18121403,-0.16480507
0.8382871,-0.06664546,-0.28349125,0.3397705
0.77981204,0.06943155,0.029730897,-0.07577101
0.7796913,0.08960115,-0.019541003,0.19992998
0.8104593,0.13914624,0.030898511,0.09672868
0.84718686,0.015577509,-0.3054382,0.37031528
0.76857126,0.028780516,-0.0383966,-0.32492945
0.86797523,-0.008179664,-0.07207163,-0.10355016
0.88478,-0.07334531,-0.38002828,0.3846599
0.7848936,0.001773441,-0.042914886,-0.03481606
0.75901955,0.07198644,-0.0376711,-0.06308354
0.718835,0.106983684,0.080048166,0.11903864
0.7358301,0.16709778,0.06018673,0.10221888
0.73192847,0.15350902,-0.034550868,0.2752467
0.71152747,0.0634639,-0.13229911,-0.32496455
0.85149366,0.032172173,-0.058081612,-0.010449929
0.9608091,-0.01605381,-0.33072725,-0.2591511
0.76540434,-0.007232626,-0.18062484,-0.21927314
0.7785281,0.08108914,-0.024238225,-0.14556544
0.74554896,0.13207105,0.017868286,-0.0759854
0.7465291,0.17269881,0.038211524,-0.0022675467
0.76289636,0.16148362,0.11459654,-0.031307854
0.69960237,0.11767756,-0.1808278,-0.31071398
0.8631706,0.0663631,-0.1063329,-0.059248377
0.8187069,0.029122919,-0.21286775,0.2383211
0.80955553,0.05408945,-0.017957402,-0.1988695
0.82236105,0.048708715,-0.034899693,0.046264283
0.8209931,0.11036662,0.0106966635,-0.0228753
0.8540383,0.088493034,-0.026805755,0.25806823
0.8161268,0.037371565,-0.08450333,-0.03164507
1.0009134,0.01202669,-0.19608177,-0.28988263
0.8077159,0.018788487,-0.16837735,0.056258745
0.8325221,0.057536613,0.030525774,-0.24969156
0.8276187,0.08755052,-0.00855121,0.13864766
0.79362017,0.16097781,0.08013052,0.2189647
0.8270383,0.072942585,-0.16327111,0.60382223
0.7545855,0.059482876,-0.07341073,-0.22827578
0.91574675,0.027410539,-0.20223072,-0.32031405
0.89061224,0.005830048,-0.3935005,0.15174973
0.7912697,0.05820086,-0.050227527,0.21811923
0.77062446,0.1294097,0.12015326,0.007652725
0.79272014,0.075254366,-0.021564335,0.32267702
0.7812817,0.004577552,-0.027951347,-0.28853455
0.9381568,-0.0059420173,-0.13285522,-0.24607676
0.91027,-0.03987323,-0.35141566,0.3090446
0.82748425,0.0294478,0.051089097,0.063755594
0.8173787,0.09845497,-0.021778647,0.3343569
0.75194883,0.11210884,-0.0142420335,0.21512426
0.7754905,0.11429443,0.06717298,0.17937829
0.7240139,0.058629803,-0.07622109,-0.34768635
0.8076651,0.026170889,-0.073819086,-0.011927275
0.9043851,-0.018040383,-0.39973363,0.1037406
0.7682199,0.018093035,-0.0265999,-0.16073853
0.8120652,0.03952634,1.9440893e-05,0.04119128
0.7883711,0.09738601,-0.010694752,0.009134752
0.8009119,-0.03030893,-0.05742667,0.5057829
0.6973858,-0.047055893,-0.055778075,-0.23931366
0.8546478,-0.064903475,-0.11787216,-0.06587941
0.912568,-0.118372135,-0.31672257,-0.30996543
0.7439822,-0.005022958,-0.06541841,-0.011225786
0.7677853,0.050696157,0.001217904,0.047789797
0.7682103,0.15724172,0.016797142,-0.07296076
0.6427615,0.025958106,-0.16058062,0.031781983
0.68385804,0.006623366,-0.04047066,-0.07383828
0.81821334,-0.061284065,-0.18975866,-0.23906727
0.81127256,-0.08508903,-0.35708857,-0.59438264
0.67434716,0.063703135,-0.022851009,-0.1386673
0.7561038,0.090248376,-0.049278617,0.13304944
0.74450326,0.14826332,0.036246214,0.25465524
0.7668578,0.04574479,-0.30478996,0.18819636
0.75010633,-0.015641142,-0.09082289,-0.19194178
0.8618927,-0.07892986,-0.30368197,-0.3520024
0.78580475,-0.05338773,-0.4154895,0.011868721
0.71733004,0.053508144,-0.031166866,0.27893993
0.7167421,0.1280459,-0.0018213203,0.059382737
0.7799521,0.12694302,0.102585204,0.08736992
0.67296827,0.037565004,-0.1091917,-0.5580548
0.8064118,-0.00442746,-0.13085322,-0.04269553
0.8382243,-0.07420883,-0.38450575,-0.4405984
0.7662436,0.032663748,-0.07409313,0.08441482
0.7824072,0.07937148,-0.014891978,0.18734242
0.80970615,0.1101901,0.059822608,0.06053967
0.74500996,0.060832497,-0.1453741,-0.25847346
0.8558043,-0.0015755589,-0.1105048,-0.23049784
0.94700456,-0.0486731,-0.3100485,-0.36492023
0.7564737,-0.0060538882,-0.12762928,0.12827373
0.78862584,0.10889115,0.011444317,0.11937872
0.7473562,0.1329981,-0.010291829,0.107386164
0.7566433,0.2178432,0.00753119,-0.010967391
0.79903334,0.15453143,-0.28474787,0.4673596
0.7671386,0.084497124,-0.03040561,-0.21810505
0.976456,-0.0010650447,-0.41522935,-0.16317093
0.7827552,0.04055064,-0.019647129,-0.06292123
0.79999036,0.103777535,-0.03351365,0.051450897
0.8084165,0.19213411,0.025333531,-0.07137987
0.83762544,0.05601339,-0.13866986,0.6044133
0.7299849,0.022738563,-0.0702715,-0.25270766
0.8188926,-0.012837283,-0.08917596,0.05534893
0.9400103,-0.044184692,-0.2773077,-0.2509488
0.7758431,0.013709196,-0.09389389,-0.117440835
0.77172333,0.09013477,0.030321175,0.032715242
0.7289889,0.17493348,0.0183321,0.020482462
0.72019714,0.20817924,0.03225127,-0.01658128
0.6605769,0.09411433,-0.11387648,-0.4026677
0.85855097,0.040455796,-0.14284845,-0.16305265
0.8035932,0.0102203,-0.25003344,-0.047091067
0.7734185,0.06557188,0.007674192,-0.08072842
0.8023879,0.08840603,-0.026335541,0.14309566
0.7615861,0.14058319,-0.027882798,0.08401995
0.78732145,0.04930647,-0.073787354,0.45427746
0.7279428,0.036964,-0.07397676,-0.33991346
0.8112221,-0.00032668514,-0.035546243,0.023656834
0.92710197,-0.089144155,-0.4529104,0.07295403
0.83834904,0.0038327943,-0.077803314,0.026271852
0.8386224,0.10231116,-0.01942217,0.20933813
0.8109074,0.13492,0.07731265,-0.042334642
0.77241683,0.01681635,-0.23195352,-0.20437513
0.85906327,-0.004328113,-0.075797886,0.035480075
1.0050985,-0.042832613,-0.2794109,-0.3667539
0.82705855,-0.03238869,-0.16527703,-0.04743994
0.7787235,0.08471765,-0.02195802,-0.039627217
0.76653785,0.12204985,0.008783962,0.007878213
0.77548105,0.14381285,0.038702525,0.026238184
0.7244212,0.03250227,-0.33371815,-0.27167907
0.7392984,-0.014180731,-0.08006647,-0.008265641
0.90154296,-0.0041307537,-0.13480112,0.021718632
0.83571076,-0.026186168,-0.3485636,0.045309834
0.7744325,0.08238507,0.055001132,-0.044250313
0.7720636,0.09277241,-0.021625355,0.1545473
0.74172276,0.1349499,-0.024286047,0.08897033
0.7557094,0.06341937,-0.34381214,0.38027078
0.7644498,0.040649895,-0.012932671,-0.16853803
0.96500564,-0.02679653,-0.30962598,-0.2754268
0.8037033,0.02756695,-0.008080926,0.059599344
0.77819645,0.05909384,0.012917461,0.029979253
0.77951247,0.16493885,0.018081797,0.009220565
0.75219536,0.09318197,-0.09104976,0.2718437
0.7815128,0.078076065,-0.022034436,-0.2758414
0.9591869,0.033864513,-0.21743217,-0.38380393
0.8146449,0.028794598,-0.11883308,-0.10496077
0.83371973,0.044894855,-0.03167631,0.119558856
0.77334434,0.09381876,0.06285611,0.07569106
0.8363757,0.119573295,0.147349,0.024095483
0.7836562,0.055882078,-0.16390696,-0.41671827
0.88941175,0.055459365,-0.114518695,-0.018017935
0.92557967,-0.027419234,-0.44375274,0.13677499
0.7920684,0.055260986,-0.0072169104,0.019109365
0.7702028,0.095514275,0.0122118015,0.015897518
0.76818603,0.13068895,0.06503582,0.017731592
0.70721763,-0.011044051,-0.24853365,-0.26076072
0.81062067,-0.027734041,-0.006333897,-0.057185736
0.9340887,-0.06068351,-0.26735082,-0.34590966
0.73366034,0.036690447,-0.06830226,-0.19707383
0.7977101,0.05111065,0.04184801,0.1997933
0.801379,0.13905786,-0.010671111,-0.10032073
0.8133977,0.11032909,0.03831549,0.2244285
0.7374805,0.019915823,-0.08204355,-0.37070224
0.87027085,0.007892739,-0.08435655,-0.18659453
0.9015397,-0.050265227,-0.33961958,0.116284154
0.8485894,0.05969835,-0.027378492,-0.071102634
0.7593028,0.11057514,0.010231681,0.04841715
0.7439568,0.15420952,-0.037911944,0.15376969
0.6672594,0.040097743,-0.28773996,-0.30741844
0.69934434,-0.012564544,-0.08148737,-0.22517203
0.795226,-0.043760054,-0.09881528,-0.09652477
