Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.2637836,13.985432,-4.033054,8.634975,-4.646179,13.535053,-1.3497769,-2.8833807,3.0394187,-3.4477303,-15.454632,-3.6162424
-1.7219062,-2.2470956,1.1909399,0.56668717,2.702675,0.7683362,-1.3260319,-3.073186,1.0437123,-4.1037636,9.844766,4.585341
1.6327718,-4.3341403,2.4952164,1.1592494,1.3655891,2.8520339,-8.097804,-7.653214,-0.0055400357,-0.3338768,4.5159726,-1.822603
0.53781897,-4.201156,0.20986049,2.5844312,0.2969786,5.9676304,-3.9732234,1.3929597,0.00013864599,-0.46154174,4.4617066,0.45947015
0.68411857,-2.0449636,-2.2774165,-4.1960278,-6.3311634,-2.685645,-6.4763618,6.506485,0.010639174,-1.9065537,1.7938501,2.6844988
-0.4471159,-1.0253398,-4.24818,-5.0732856,-7.6071973,-7.199331,2.6413171,10.7072735,0.0055980664,-1.6014153,1.175662,4.0392323
15.247734,0.051403668,-0.00040055817,-1.5259272,9.617812,-9.143329,20.77838,-15.75897,-2.3570313,10.596814,-9.914412,5.826161
-4.019656,12.742784,-0.00015007975,0.4065812,3.0532837,1.7649884,0.6070615,-1.8916247,-1.7547734,-3.5065253,-9.1440525,1.6710322
-6.285737,-2.8107278,-8.25067,0.72635067,2.294518,2.632857,-0.53331107,-3.8370018,1.6012067,-4.4424376,7.3388247,12.554306
0.97926533,-5.9068766,4.282901,-1.488415,-0.5552659,-0.9852551,-8.065599,-4.6699147,0.05151308,1.5201193,5.8861923,-3.4193788
-0.26687276,-4.026017,0.13867381,-0.7224575,-2.7589066,-2.8061035,-5.508015,3.830141,0.0017840303,-0.13921331,3.726081,0.35674173
0.6175018,-3.7154737,-0.9372676,-2.3532622,-4.045925,-3.1593175,-2.5295255,6.576982,0.559676,-0.8046482,2.9858148,1.8971083
-0.16239825,-7.750482,18.423244,4.116971,-3.4872735,-1.3963504,12.693985,7.1783195,-4.937647,-1.8624407,0.32659197,4.4511495
-0.7193179,10.963601,-0.00027673144,-0.17106274,5.959245,-1.8547883,0.5541399,-2.560634,-1.2977729,0.4245421,-7.851822,-2.7863436
-3.7252178,6.023899,0.376317,-0.5530661,4.3409896,0.6279698,0.7146241,-2.1755867,-2.1902215,-2.4958472,-9.483563,1.1148511
-3.406043,-5.601833,0.8896239,1.1525918,1.291963,3.1753469,-1.5676569,-2.6819153,-0.4866029,-3.5188117,9.705357,4.729381
-0.16285641,-5.287743,3.0491278,1.6721925,-0.9517808,3.0142722,-8.368328,-5.477823,0.0014477107,1.611467,4.8085003,-2.1575956
-0.9159601,-2.9688895,-0.65767664,-1.6269226,0.91504693,-6.6776567,-5.83824,4.0428524,-0.005518963,0.6190121,3.5065913,-0.3150434
-0.41883892,-2.8309004,-1.9954392,-4.913995,-2.869931,-5.110642,-1.2776979,9.600847,0.84068185,-0.12390889,2.3773532,2.285177
0.14423814,-1.5943773,-3.315751,1.7282176,-4.0143123,-2.9816327,12.652009,8.898084,-1.4937551,-2.7768362,-0.27651337,5.7106647
-1.0097221,12.67448,-0.00024534174,-0.2934041,5.112975,-1.4192808,0.33499098,-2.3299139,-1.1916174,-0.50912213,-12.941633,-2.3900805
-4.187901,2.740151,-0.63196576,0.99461997,2.2612424,2.401452,-0.74206555,-2.4482071,-0.87089884,-3.7373843,-3.5026126,2.219494
-11.01147,-3.9593377,-18.650303,-0.48017487,3.2914758,1.1682032,0.45444256,-8.798099,15.635841,-7.404924,10.389497,21.573286
0.8397458,-4.267438,2.7131357,0.2221382,1.1884311,2.9149427,-8.810079,-6.9596467,-0.01230976,0.7085206,4.1741776,-2.391932
-0.48681715,-3.7078946,0.25875005,0.9035496,-0.0036961734,0.35111332,-3.506154,1.6278257,0.35583866,0.44194794,3.7675319,-0.5117552
-0.29854447,-2.9610991,-1.2492526,-4.610394,-4.0427957,-9.714954,-4.890426,6.858663,0.0021365285,-0.2671955,2.7618122,1.2833459
-0.2743612,-1.6717184,-3.0526595,-5.111383,-9.733803,-7.125966,1.188815,10.551064,0.00074416806,-1.6265029,0.8050215,4.059103
11.526647,-1.6088232,-0.00037773733,16.11547,-2.8297725,18.711472,22.241533,-4.7991343,-5.802757,0.639384,-7.0557084,11.833282
-0.60544556,13.791904,-0.00024730805,-0.7610257,5.4580636,-1.9471724,0.9023682,-2.172763,-1.3608748,3.5695608,-12.249432,-2.5996265
-4.1858177,5.85585,-0.070330694,0.473066,3.2614737,1.3995584,-0.45309627,-2.1363022,-1.5861043,-3.7880387,-6.3117843,3.106316
-2.51237,-3.1738734,-1.5260612,0.6964826,2.573399,2.463782,-0.76175725,-2.190263,-1.5616457,-4.4182377,8.402229,6.1466937
1.904516,-5.6318583,4.799859,0.21360645,-3.172106,-1.7175924,-7.996357,-2.856085,0.0014637064,1.2562096,5.2986436,-4.601558
-0.21506037,-3.8547153,0.53213686,0.71359164,0.59032667,3.6423273,-5.565954,-0.8028461,0.076043434,-0.017102383,3.849143,-0.7444663
-0.49133348,-3.6644585,-0.5457818,-0.08035074,-2.464678,-0.97009546,-4.432498,5.5124655,0.0027424684,-0.10046092,3.2918231,0.78126997
0.77198404,-3.3603191,-1.4973599,-5.147543,-4.195222,-4.3175077,-2.5969636,9.173675,0.0013578122,-1.0829713,2.4875278,2.7491202
-0.5000231,-0.9431476,-4.8068943,-2.307072,-7.719692,-5.5188823,6.831465,10.497326,-0.04363063,-1.288424,0.7689098,4.651916
12.278008,7.6975756,-0.0003391931,-3.0004842,8.860149,-10.632477,20.381903,-17.781227,4.9720354,15.4832,-15.403662,0.64497155
-3.0328035,11.1793,-0.00018826735,-0.046606436,4.634127,-0.24113804,0.49591488,-2.1128829,-1.7978688,-2.482685,-10.189087,1.8293352
-3.3592565,3.1267111,-3.559274,0.41524914,3.3919475,1.4218483,-0.44464004,-2.326848,-1.4332259,-4.176069,-4.395202,3.7571483
-4.339155,-2.9504333,-8.387093,0.7637901,1.2891054,-3.0521536,-2.5823324,-9.877043,22.931942,-5.535426,8.90596,19.926432
0.06406325,-3.911475,1.144214,0.18839869,1.8390558,2.4040875,-5.631522,-3.9008012,-0.012779497,0.1487465,3.4502587,-0.16146177
-0.40673143,-3.7297592,-0.35125995,-1.0106405,-2.1642807,-2.4631348,-4.3031588,4.6540933,0.0042899996,-0.22297855,2.726548,1.603751
-0.19260615,-1.9017414,-2.4193344,-3.5156093,-3.8040633,-5.4747634,-1.0034212,8.076307,-0.00044355355,-0.92181134,1.6465924,2.5011103
-0.81028557,-0.82041126,-4.216989,-1.6837478,-7.016384,-1.898309,6.7834053,10.950442,-0.8893313,-2.4524674,-0.13336796,5.4219074
5.7500186,9.910826,-0.00036675524,-0.12414185,6.4405627,-3.8263626,-1.3981199,-3.8406425,1.9241973,8.420866,-10.771699,-10.211102
-4.756748,9.472351,-6.634937e-05,0.33451733,3.7046776,0.98030025,0.21421042,-2.2726502,-1.4682417,-3.5274212,-9.098434,1.7917787
-3.4580474,-3.8546093,-1.4579796,1.0609004,1.9882299,2.9740422,-0.61236334,-4.2775416,0.6150222,-2.9198904,9.676179,5.189683
0.67384946,-4.918339,2.9956305,-0.45939705,1.083608,-3.5993772,-10.690595,-5.028035,0.0015161897,1.1896242,5.531936,-2.97561
-0.49136084,-4.5010395,0.25435495,0.7756254,0.4002965,5.261642,-2.8582752,2.8586051,0.1996484,-0.032685887,3.807892,0.8947099
-0.1077559,-3.0207953,-1.5503348,-6.8146744,-0.26544324,-20.169939,-4.5786796,9.721897,0.000114230206,-0.71591854,2.354697,2.0218585
-0.14908122,-1.9321939,-3.5245025,-3.7099407,-8.857536,-8.169602,4.897317,12.236581,-0.00143995,-2.5723083,-0.06611171,5.76239
8.518609,11.463153,-0.00042325037,-4.189668,9.530629,-10.635888,-0.6587472,-4.5134454,2.4599037,11.437536,-14.535589,-15.63061
-5.1810784,10.990701,-0.00011102116,-0.042372085,4.7219353,0.19445036,-0.16735253,-3.1875386,-0.16961476,-3.5976593,-11.017458,3.1023457
-3.6284814,-0.5944739,-10.675743,0.5248491,3.0945687,2.491578,-0.76612765,-3.24895,-0.62198085,-4.9603696,4.540976,18.807037
1.4237595,-5.7363334,4.1243973,0.458121,0.8147845,-2.5400555,-8.090713,-7.6153474,0.0019369505,0.6932964,5.548291,-3.6430314
-0.04317276,-3.420929,-0.90579903,3.7800605,-1.2328596,8.601416,-3.2319548,5.2972865,0.009646766,-0.46365577,3.2119148,1.300813
-1.1938739,-0.785608,-4.7665615,-3.004088,-8.037005,-4.8400764,3.8412778,10.54957,0.0040588956,-2.092812,0.34124064,4.9656487
9.590567,8.736759,-0.0005010412,-2.481144,9.067696,-9.989767,-3.2294888,-5.0450983,4.0306673,12.14092,-13.763513,-9.899966
-4.4247274,10.90061,-1.2403831e-05,0.027573865,4.2665515,0.85006213,0.2865665,-2.7740207,-1.025517,-5.4564486,-12.094487,7.538432
-3.372758,-3.8319159,-1.9032162,0.88869953,2.1694899,3.093666,-1.2693449,-3.069304,-0.5495927,-2.5876865,8.799239,5.9500203
0.59266037,-5.0022025,2.8087459,-0.52738714,3.4068656,1.313763,-8.604953,-6.366866,-0.010549352,1.0553063,5.1139083,-2.8529327
-0.6826731,-3.7470977,-0.26439446,0.3989257,0.5179599,1.3778529,-5.6400933,2.3578975,-0.0023824703,0.31534895,3.7342176,0.52269685
-0.06645005,-2.9558337,-1.7474867,-3.8304462,-4.977732,-6.5480137,-3.6467483,10.080631,-0.00048901467,-0.60616815,2.5632043,1.906944
-1.6075078,-0.6316095,-4.471836,-2.116868,-6.248971,-6.166533,6.127629,11.220798,0.36695564,-1.4368453,0.3170127,4.8427715
7.347307,11.595297,-0.00035068812,-4.3185024,10.074513,-11.078798,-4.269964,-7.6668563,9.2090645,10.130356,-12.786144,-11.594646
-4.1738305,9.681401,-0.00012274971,0.43303064,3.5350335,1.2665755,0.095874906,-2.3297637,-1.3018801,-3.6758635,-9.476145,1.8871316
-5.776817,-5.7869515,-1.2662942,0.76893574,2.5593786,2.5349722,-1.1131734,-3.0050852,-0.4492026,-3.9886868,10.220691,7.2166247
0.5127004,-4.685079,2.7709756,-0.75257635,4.0094557,0.28107822,-8.448797,-3.319097,-0.008070745,1.1889467,4.670205,-2.7312248
0.15386884,-3.5087943,-0.18349828,1.3595676,0.6514107,3.9288564,-3.4768639,-0.71920186,-1.6133585,-1.044553,2.8691015,1.2802501
-0.36710745,-3.2040036,-1.3545973,-4.50722,-4.599854,-8.602017,-4.2085223,9.198565,-3.7943246e-05,-0.08103891,2.9888096,1.183225
-0.9808745,-0.73273253,-4.164504,-2.6750033,-2.5701559,-5.351059,4.4647484,9.860715,0.24506325,-1.7301776,0.44992307,4.6720166
