feet_1,feet_2,feet_3,feet_4
0.0,0.0,0.0,0.0
127.9355,325.29745,116.20725,0.0
0.0,136.23032,119.69208,0.0
0.0,94.845825,58.76861,0.0
0.0,84.319595,38.946487,0.0
130.94298,15.894869,0.0,127.55966
65.888824,49.78246,0.0,101.03096
89.51622,20.199472,0.0,138.7298
54.355495,0.0,0.0,120.39021
0.0,202.65169,0.0,0.0
0.0,110.182236,47.529938,0.0
0.0,58.447838,45.728073,0.0
133.0068,28.538475,0.0,159.72412
88.21855,44.847317,0.0,93.92533
83.01172,0.0,0.0,111.92056
36.67311,0.0,0.0,112.40838
0.0,129.34807,124.387955,0.0
0.0,106.94072,73.98326,0.0
0.0,72.283485,51.50118,0.0
142.16682,0.0,0.0,154.24611
48.27801,47.815426,0.0,54.902534
63.45319,0.0,0.0,130.41867
40.617405,0.0,0.0,145.45743
0.0,200.00417,114.89294,0.0
0.0,129.51404,96.665405,0.0
0.0,80.97991,43.59104,0.0
85.501724,81.624985,0.0,76.59687
102.58366,31.660017,0.0,112.42722
50.806297,0.14637263,0.0,71.27436
97.51502,0.0,0.0,123.01384
79.79972,0.0,0.0,135.86746
0.0,195.29646,0.0,0.0
0.0,156.27042,70.720116,0.0
0.0,76.721436,44.645615,0.0
0.0,34.36342,65.36314,0.0
133.4896,20.308348,0.0,106.042694
52.549202,52.187763,0.0,58.03504
84.36451,0.0,0.0,103.42093
70.478676,0.0,0.0,116.67267
0.0,207.52788,0.0,0.0
0.0,136.98192,52.82715,0.0
0.0,62.938065,45.338886,0.0
132.58263,0.0,0.0,156.85089
58.044487,47.224777,0.0,54.441105
72.99721,53.34468,0.0,88.41753
68.34784,0.0,0.0,129.9045
0.0,0.0,0.0,32.268932
0.0,123.50095,78.77825,0.0
0.0,104.2217,72.969215,0.0
0.0,66.44042,57.765053,129.64114
90.68182,57.811363,0.0,82.67824
87.52402,0.0,0.0,97.756836
72.58774,0.0,0.0,127.52383
116.16341,0.0,0.0,59.058113
0.0,166.5675,86.58583,0.0
0.0,96.58044,47.533165,0.0
152.4326,41.949486,0.0,145.88277
77.29199,45.902454,0.0,97.96716
71.92112,0.0,0.0,124.86481
64.961,0.0,0.0,130.98637
0.0,192.20416,67.52366,0.0
0.0,108.20236,73.09568,0.0
0.0,62.930614,28.900316,0.0
133.02435,43.399395,0.0,119.78302
75.656166,23.020342,0.0,88.502174
94.73313,0.0,0.0,136.87871
38.90878,0.0,0.0,115.467575
0.0,238.44392,0.0,0.0
0.0,107.45367,59.70052,0.0
0.0,67.565926,36.581455,0.0
146.16528,79.47468,0.0,146.02193
48.131084,70.41661,0.0,51.860313
69.092,0.0,0.0,90.803085
59.115868,0.0,0.0,123.10215
0.0,214.54807,186.43542,0.0
0.0,119.128815,63.120617,0.0
0.0,44.914955,25.127226,0.0
100.03184,49.261517,0.0,90.40763
62.868576,20.022717,0.0,109.85445
77.60442,0.0,0.0,137.18263
75.03276,0.0,0.0,115.85937
0.0,143.92555,105.62712,0.0
0.0,87.75173,52.71495,0.0
