Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0571594,-1.0482502,7.370917,-1.013309,0.6577493,-2.2266345,-3.6278133,-2.6711223,16.472795,0.98976827,-3.7823343,-0.3519907
0.9512906,-7.664234,19.520912,8.666413,-12.177982,7.8219,-0.028550744,-2.1520598,2.098051,0.6303382,0.81832314,-0.22113037
-10.344483,2.3916383,-12.801456,-0.47507405,-0.38230848,-1.7315772,-0.032628536,-0.9832568,4.1631327,-7.632967,19.869047,16.954275
-7.1916194,-0.7552755,-0.46818638,-3.6886978,-6.9699063,1.4354594,0.028894901,-0.23219371,0.8246519,-2.8342698,10.519215,8.861246
-4.716943,8.844746,3.3975112,-0.056593895,-0.9798316,2.550951,0.5907954,-0.7376678,1.9726448,-5.5258174,3.5506213,11.261557
-8.38507,6.680206,11.149893,0.033917546,-2.5200453,-1.5064266,2.933285,2.1647017,1.5600291,-3.2860236,-0.08890998,11.341129
0.8883805,-3.0918486,16.654686,10.681533,-1.8629248,20.0,-4.0282507,-1.7852778,4.146572,-1.3130522,-3.3171954,9.143509
0.2896986,-1.6901171,3.5668516,4.1040044,1.7496247,13.190461,7.363137,-6.519504,-3.2135632,0.9395528,1.4082355,-0.78235173
-0.8506131,-1.0308418,-2.5070553,0.6310026,-3.7161207,-0.5135884,-0.86791396,-2.242409,7.9742913,-1.9376519,0.5889759,6.236141
-10.392594,-4.0296392,-6.6971674,1.0578494,-5.9438953,1.0738127,0.54641485,0.2737882,2.417498,-3.7950628,5.107877,13.505839
-7.4728656,-1.3321285,-3.3939643,-1.8617666,-6.257387,-5.689004,0.6885257,0.56630135,0.49980098,-4.4823213,1.1488788,8.9593315
-9.324337,-0.0072113276,-3.329815,-3.1322496,1.7307088,-6.5026383,-0.7496474,3.2673519,3.7680106,-8.070014,-4.9645815,11.586882
-0.5849941,0.15095806,9.218099,1.1184374,0.41743946,-0.7465789,1.5538564,-2.1785212,-1.4972488,-1.3168983,-6.354145,3.098886
-0.5947044,-1.3498592,11.271481,5.495034,-0.39743853,16.459625,11.797514,-5.4687233,-3.2867496,-0.4817791,2.2050562,-0.5203737
1.7143729,-1.6249292,-0.03203244,6.5902567,-0.8739698,8.124328,7.8320227,-2.5891924,-5.0882826,1.5810455,1.202558,-0.58676255
-0.5291066,-0.8327663,2.1018162,3.8507335,-5.582939,-2.762272,1.2407391,1.9625669,-6.4853196,1.3927788,1.9583707,-5.065673
-8.9109535,-4.4906673,-5.387026,1.0220182,-5.949329,0.26963902,0.8348813,0.8902018,1.2128547,-4.202707,3.9794211,8.666842
-7.192239,1.3306806,-4.241986,-0.6151115,-2.3279233,-0.72149503,0.01732111,0.9167118,0.9482553,-5.8084674,-0.032739997,9.148382
