base_vel_x,base_vel_y,base_vel_z,base_vel_yaw
-0.0016330361,-0.0031178845,1.0007151,-0.0056159273
-0.09173901,0.16414316,-0.12401174,0.07082005
0.23289256,0.11910087,-0.42149907,-0.64955616
0.15743844,0.12412297,-0.28784126,-0.08303862
0.6281298,0.07352905,-0.022537565,-0.03304184
0.7202967,0.053338915,-0.05786013,0.23269263
0.73622,0.115540564,0.01386257,0.008127881
0.8154582,0.0016695263,-0.09278997,0.44769967
0.741755,0.026945936,-0.050623816,-0.20618191
0.88598967,-0.009839458,-0.17502454,-0.18095548
0.8224088,-0.04461634,-0.29815248,0.16645661
0.793877,0.04614218,0.0051771123,-0.19769153
0.78860027,0.06609219,-0.011728515,0.06985605
0.79328126,0.12526193,0.018363943,0.20856439
0.7766148,-0.027394231,-0.33976996,-0.2924491
0.83989143,-0.012340461,-0.0028788834,-0.15788141
0.9866133,-0.03109122,-0.17991829,-0.49244744
0.8324425,-0.028560294,-0.18627879,-0.07327669
0.8209522,0.018698145,-0.020744327,0.02030044
0.8251088,0.10938625,-0.027260523,-0.029497609
0.81079173,0.080018185,0.05798179,0.083037056
0.76907456,-0.023963373,-0.27510524,-0.3816459
0.8309409,0.008250248,-0.031100342,0.056080565
0.95522434,-0.02866593,-0.17549874,-0.082574375
0.8419343,-0.024525795,-0.21653251,0.0722282
0.82956976,0.009313934,-0.013074443,0.07491504
0.77354187,0.07565299,0.010024982,0.16312966
0.7902214,0.16542405,0.056630984,0.09964402
0.78083736,0.14666376,0.068438694,-0.026322456
0.69246703,0.06116971,-0.13996677,-0.41240728
0.7561458,0.020000119,-0.054932564,-0.024514377
0.89950466,-0.0013995515,-0.17169932,-0.3472163
0.87813234,-0.016798785,-0.36017662,0.043377947
0.7700725,0.013297533,-0.076144494,-0.081313536
0.7945267,0.055694457,-0.042168535,0.05117899
0.760529,0.110315956,0.0038449494,0.23459166
0.8043876,0.15459809,0.08591526,0.029210217
0.82000566,0.047490742,-0.17224191,0.4660509
0.7613254,0.048596285,-0.04926075,-0.22487532
0.8987108,0.05321098,-0.08464533,-0.1042149
0.94461614,0.007718467,-0.33305153,0.3469735
0.8374849,0.055369474,-0.0024756398,-0.10023512
0.7931962,0.107047416,0.023413626,0.101178154
0.78716344,0.13126022,0.043938342,0.09749355
0.7450425,0.09337917,-0.03871307,0.20419082
0.7329851,-0.010551244,-0.050898425,-0.22689483
0.868861,-0.04643569,-0.15974455,-0.22106051
0.8482309,-0.07490085,-0.43261293,-0.092517346
0.73320323,0.0510789,-0.040638234,-0.22073221
0.7835158,0.07140863,0.013985978,0.05461283
0.7771003,0.130379,0.01555307,-0.042339813
0.7886334,0.103832826,-0.06482695,0.28398395
0.72734493,0.10952522,-0.037410412,-0.38440758
0.85466427,0.06442498,-0.059414208,-0.21246451
1.00044,0.023728907,-0.4573622,-0.0669934
0.8257068,0.005923623,-0.13536394,-0.039947864
0.7804587,0.13431764,0.010771648,0.052005712
0.80700976,0.047108967,-0.09805389,0.51050663
0.7416748,0.0075305463,-0.08159054,-0.24557367
0.916472,-0.0055942424,-0.1092227,-0.2437974
0.8399406,-0.03536813,-0.27670756,0.30968067
0.7995156,0.035858285,-0.03226898,-0.1822489
0.7985611,0.07954518,0.00076640514,0.12385095
0.7769652,0.116007075,0.058823224,0.056799635
0.7937717,0.11177504,0.09893153,0.1000008
0.73907363,0.042243645,-0.06785366,-0.33924848
0.8554237,-0.015292521,-0.14498267,-0.23334667
0.9722587,-0.030379012,-0.26510012,-0.3124854
0.7632957,0.010308165,-0.08487914,0.09139156
0.77695304,0.08233922,0.011660848,0.16643056
0.7965967,0.10887532,-0.028534591,0.13367173
0.78148013,0.13507146,0.064638674,0.14029829
0.7624042,0.042622562,-0.22760305,-0.23668727
0.8540694,0.004387774,-0.10347512,-0.11708805
0.9693185,-0.037381336,-0.33871832,-0.37099814
0.8332632,-0.036374997,-0.141973,-0.011879025
0.8193955,0.026919417,-0.013191061,-0.086473435
0.82467175,0.0778606,0.009905685,0.027819142
0.8274259,0.006854464,-0.08793166,0.4107387
0.8304933,0.021164514,-0.07558379,-0.13568677
0.9528929,0.04379546,-0.1432054,-0.2462957
0.8736986,-0.00092383404,-0.1967625,0.19889776
0.8128195,0.05174101,0.015243518,-0.17790419
0.8205448,0.100684844,-0.03232233,0.25777102
0.7846046,0.14437984,0.073477045,0.11927662
0.81277245,0.10597558,0.0064449394,0.2889396
0.80687994,0.03568771,-0.0118239345,-0.13761036
0.98794097,-0.0035745078,-0.18621133,-0.23696071
