command_x,command_y,command_yaw
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.05,0.0,0.0
0.05,0.0,0.0
0.05,0.0,0.0
0.05,0.0,0.0
0.05,0.0,0.0
0.05,0.0,0.0
0.05,0.0,0.0
0.05,0.0,0.0
0.05,0.0,0.0
0.05,0.0,0.0
0.1,0.0,0.0
0.15,0.0,0.0
0.25,0.0,0.0
0.35000002,0.0,0.0
0.40000004,0.0,0.0
0.40000004,0.0,0.0
0.40000004,0.0,0.0
0.40000004,0.0,0.0
0.40000004,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.50000006,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.45000005,0.0,0.0
0.35000002,0.0,0.0
0.3,0.0,0.0
0.2,0.0,0.0
0.10000001,0.0,0.0
0.05000001,0.0,0.0
-0.049999993,0.0,0.0
-0.14999999,0.0,0.0
-0.19999999,0.0,0.0
-0.29999998,0.0,0.0
-0.4,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.45000002,0.0,0.0
-0.5,0.0,0.0
-0.5,0.0,0.0
-0.5,0.0,0.0
-0.5,0.0,0.0
-0.5,0.0,0.0
-0.5,0.0,0.0
-0.5,0.0,0.0
-0.5,0.0,0.0
-0.5,0.0,0.0
-0.5,0.0,0.0
-0.5,0.0,0.0
-0.5,0.0,0.0
-0.5,0.0,0.0
-0.5,0.0,0.0
-0.5,-0.05,0.0
-0.5,-0.05,0.0
-0.5,-0.05,0.0
