Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12
-0.07531583,0.045743555,-0.103867486,0.03260152,-0.06096097,0.052885998,0.12904134,0.25897452,-0.42407912,-0.034173723,-0.25575155,0.32078663
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21195672,-1.3084807,7.963517,-0.18668473,3.1902719,-16.580753,-1.1074784,-3.1453018,12.935915,-1.2067465,5.632464,-22.042511
5.7606807,11.5736,2.8879874,3.1972785,7.0665073,-3.7891614,-1.2428914,-6.720236,3.9223816,-1.0594072,-12.75294,-16.283903
4.006915,10.657965,4.325863,1.9163419,3.5026734,0.9682237,3.2130392,-1.5236986,1.7700979,3.472618,-21.19389,-7.3666105
3.5482666,6.50371,2.6190963,2.0654175,0.5201937,3.399505,3.3393211,-3.410688,4.69366,4.533166,-18.368004,-1.5473453
0.37909558,0.78633195,2.2748685,5.2010674,-2.207074,4.42576,2.3843708,-8.937512,16.52819,-0.12358092,-5.075073,4.0746465
-2.2651415,-7.7543297,15.937507,6.615851,-6.049992,8.919142,-3.4819298,-16.955698,46.731316,-8.991565,5.1455817,5.50334
-5.2917886,-21.809017,42.073055,9.771028,-13.032258,18.832623,-7.1503687,-15.503471,42.166084,-13.78021,17.97872,17.34324
-2.5714996,0.24002719,3.981028,-8.984007,11.312131,-14.561507,-4.653847,-4.948212,24.619757,-5.9067388,21.585342,17.503536
2.7964199,-0.5255718,4.3944325,-1.4407781,2.8555756,-4.014262,-10.58024,-6.958063,-0.01988646,6.382446,4.0656204,-14.065347
4.8881373,-2.0518336,5.139801,1.2604681,1.6887919,-1.3083276,-6.6443257,-4.0138984,-0.0074111335,1.6049013,2.773621,-7.5229955
2.3145356,-1.6311268,3.0722117,0.66201603,1.6860887,-0.324754,-3.684708,-3.3133361,-0.004756244,-1.1228213,1.7609613,1.1290033
0.86848277,-1.217295,0.6458968,1.7346301,0.035863575,2.4249377,-3.1253338,-2.054753,-0.07409687,-3.207328,12.212576,2.0481906
-0.7749797,-1.7106788,0.36265385,0.17558914,0.13829224,2.3865852,-4.206677,0.08643059,0.3416736,-3.1269052,9.401126,3.855967
-1.3083265,-2.2763383,0.4257019,-0.36208278,0.29357475,2.4146118,-5.482051,1.3745759,-0.008104529,-1.3892623,4.754506,4.7657156
-1.2485957,-2.524284,0.4565793,-0.19802429,-0.0794348,2.8435547,-5.2285957,1.9616656,-0.0045925565,0.3349652,0.40628296,2.212693
-1.2138696,-2.5554204,0.14725223,0.06998825,-0.041450024,1.9267361,-3.996761,3.5911129,-0.05843275,0.5997046,1.0736173,1.4502152
-1.403295,-2.083751,-0.8625095,-2.9818857,-3.1013372,0.27254438,-3.817127,3.74825,-0.010095529,0.24431345,0.95206845,1.6287315
-0.6747668,-2.193739,-0.9598685,-5.3052864,-2.0673883,-2.1741118,-4.5176454,4.994124,-0.011387518,-0.7007427,0.53981644,2.5479827
0.3093576,-2.2474391,-0.8123128,-6.5442967,-0.55427974,-5.5766253,-3.9905274,5.729497,0.0042786766,-1.8084755,-0.0051533543,3.5528183
-0.2686984,-1.6002201,-2.3373623,-5.193326,-5.178315,-6.653827,0.32141453,8.467846,-0.0030624368,-2.439608,-0.548157,4.688037
-0.36862534,-1.9538337,-2.2732227,-2.2708375,-7.6895123,-4.7268896,6.0883946,11.893516,-0.0016205771,-2.8864677,-0.86737114,5.7614555
-1.6150703,-3.6394413,-0.6591751,5.875107,-8.194317,2.5337387e-05,14.587152,9.742632,-2.3647099,-2.7202036,-0.94648683,3.7437007
20.879257,-8.984639,-0.00041813683,21.112066,-4.4207497,19.248156,23.659033,-8.014513,0.80279404,3.468507,-6.502282,17.754105
3.3581502,15.121854,-0.0003829499,-2.5318093,6.3560524,-3.5372508,2.6381948,-2.0800169,-1.9103019,7.232988,-12.587872,-13.0204115
-5.4938235,11.990995,-0.00015166512,-0.3547822,3.8787262,-0.10042281,0.6780974,-1.833715,-1.5016257,-4.5139513,-12.449053,2.467774
-4.2448344,4.9369707,-0.7262622,0.8918473,2.9909682,1.5325404,-1.2235653,-2.5557816,-0.30675614,-3.627526,-2.329822,4.0944886
-5.593112,-6.2660604,-2.2570872,1.6836587,1.2766685,3.066061,-2.2931988,-2.828847,0.75132155,-2.0606987,9.708559,7.078224
-7.3974195,-9.445392,-2.9354138,1.6689001,0.8636831,3.198346,1.4088972,-6.4332914,-0.114783525,-4.5850644,13.483121,4.8031926
3.1782384,-5.066413,5.2710733,-2.209977,-4.9276795,-3.1781132,0.96877193,-1.7643785,-0.13521698,1.7339777,5.4864354,-6.871651
0.33079344,-5.2778597,3.116966,0.09949355,-0.45859876,1.0617089,-11.289943,-4.5588293,0.0023382357,1.2423418,5.1766443,-2.0055192
0.51059204,-4.9974713,1.9963495,-0.8094046,4.8289027,-0.038668558,-7.9477153,-2.5789568,-0.015679907,0.35595435,4.7034273,-0.99929446
-0.52670586,-3.6267612,-0.24657518,-0.017432846,2.0034108,3.177782,-4.1699524,1.4530042,0.0051829657,-0.031175993,3.2320793,0.395125
0.2800355,-3.5405066,-0.39455718,1.157588,2.678443,6.7193117,-3.5251505,1.6213595,0.024577033,-0.7799396,2.84906,1.1893517
0.27942172,-3.376845,-0.87363017,-3.404042,-4.338801,-2.897896,-3.7741938,4.9611163,-0.00033514202,-0.5534389,2.7391405,1.3840178
0.77190405,-2.958888,-1.4705533,-1.9350176,-2.4572322,-3.747224,-2.7900803,6.0271025,0.008905974,-1.2421,2.0583894,2.6227238
0.8208503,-2.7304,-1.8348643,-3.4367855,-4.6435494,-2.686293,-0.2506179,8.495638,0.0016131431,-1.4988735,1.7145636,3.010657
-0.39200157,-1.188374,-3.5348494,-2.538267,-4.7766314,-5.5629735,3.8523147,9.934464,6.221258e-05,-1.4247484,0.94887257,3.9650178
-0.32322747,-1.256447,-4.7350407,0.67012554,-4.800491,-4.113538,8.332772,7.2984633,-0.7293626,-2.19343,0.34518093,4.6696467
16.56291,-1.3572788,-0.00035333,15.657945,-1.090951,21.424698,21.339296,-11.652472,0.5196578,2.1984453,-10.652854,13.762139
1.5386763,13.287322,-0.00036241522,-1.0879579,7.875706,-8.137748,-1.7436694,-2.422087,0.8086926,3.2560792,-11.270453,-6.4458194
-5.6090107,10.817164,-0.0001465138,0.33378422,4.1089206,0.445252,0.7192841,-1.760196,-1.9107618,-1.6527598,-7.8762054,0.74957585
-3.3308504,3.527406,-5.9616164e-06,0.3593971,2.7702894,2.1555817,-0.18428007,-1.8953466,-1.7572432,-2.3549657,-5.2735043,2.0907857
