Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6,Joint_7,Joint_8,Joint_9,Joint_10,Joint_11,Joint_12,Joint_13,Joint_14,Joint_15,Joint_16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0822273,-1.3770798,3.296566,3.5167973e-06,1.3203144,-1.4599602,-3.2821448,0.0012451014,-0.8413739,-1.3793212,3.2762933,-7.412935e-05,-0.696666,-1.4626262,-3.2657216,-0.0013683406
0.046153992,-1.8452649,3.3824973,1.2002044e-05,-0.74831176,-2.1305897,5.682723,-21.194138,2.749314,-0.7939212,3.8170033,-0.021503687,-0.16325572,1.0753773,4.967167,-3.967129
0.115236945,0.47070917,3.3365128,1.0299482e-07,-1.3900375,1.671433,1.09113,5.6407614,-0.35293984,-3.066831,0.7284648,10.297269,1.6540496,-1.8517996,-0.035158277,0.015683442
-2.2467248,2.4763854,-0.003971532,3.7578566e-06,-0.3232928,2.236981,0.2675326,7.312133,0.9895574,2.374384,-2.2342343,-9.392924,0.644655,0.34324256,0.028692976,-0.040684663
-2.7577024,-1.1617885,-0.029856399,-2.9865678e-06,0.1835368,-2.587988,-0.74176514,-8.973134,0.21887743,3.614398,1.5743918,24.994488,-0.70392704,-0.027862728,-0.99532217,8.865844
0.9805007,-1.1908013,-0.07878186,5.6297274,-1.1785206,-0.9856917,1.5716773,-0.015727526,-1.9978061,2.8908732,1.915406,-0.015261278,-2.0061274,1.1790906,-1.7236257,0.6012651
-0.7135587,3.7068686,1.3035583,7.1791077,3.247061,0.3982731,0.08537136,-0.06961263,-2.4302974,-1.2666157,0.033607874,-0.0926816,-2.547062,-3.108411,-3.0927098,-1.7843823
1.9718057,-0.10181704,-0.9249278,-1.1312017,2.5074656,2.1773431,-3.5417933,-0.004699765,3.3428419,-3.5287535,-3.4661522,-0.010854693,3.2349474,-3.2640276,3.8719978,0.013054848
1.5452367,2.6912203,-0.008050982,2.6534071e-06,-2.1403685,2.9446797,1.6155193,6.631881,2.5381467,2.2083836,-1.2738416,-7.2893887,3.3975024,0.45970854,-0.08372204,-0.03952224
-3.328458,2.1951895,-0.02697891,-6.967184e-08,-1.1755674,2.5334303,0.07591712,8.551133,2.4670055,2.6750634,-2.7564092,-8.1689205,-0.7058642,1.0452124,-0.010440236,-0.036070824
-3.2919219,0.9906329,-3.3826013,-6.749545e-06,2.1336405,-2.9702556,-1.5490363,-5.823718,-2.71514,-3.4639957,3.2456493,-0.07014251,-3.8112206,3.1431847,0.14299363,0.03445383
